"","codew","flux_umolm2sec","plot_code","sub_plot","plot_corner_code","collar_number","measurement_code","treatment_code_partitioning","disturbance_code_control","litter_code","replica","year","egm_measurement","recno","day","month","hour","min","co2ref_ppm_sec","InputD","time","InputF","atmp_mb","probe_type","quality_code","comments","collar_num","vwc_percent_in","vwc_percent_out","soil_temp_c_in","soil_temp_c_out","air_temp_c","ch_new","ch_fill","collar_diam","codew"
"23","1.1.2.10.2006","2.35532006085146","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,2,10,7,41,644,33,124,0.25,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.17035714285714,12,"1.1.2.10.2006"
"24","1.1.20.1.2014","3.74005750741827","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,25,20,1,8,36,490,51,115,0.41,987,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.32857142857143,12,"1.1.20.1.2014"
"25","1.1.20.11.2007","4.03775903553337","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,19,20,11,9,16,547,51,86,0.55,991,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.18892857142857,12,"1.1.20.11.2007"
"26","1.1.20.11.2016","3.52273736576202","TAM-05",1,"NaN",1,"TOTAL","NaN","NaN","normal",1,2016,50,23,20,11,7,54,617,51,105,0.45,986,8,"good","NaN",1,NA,21.7666666666667,NA,24.8833333333333,25.7,4.41666666666667,4.41666666666667,12,"1.1.20.11.2016"
"27","1.1.20.12.2016","5.38812962421216","TAM-05",1,"NaN",1,"TOTAL","NaN","NaN","normal",1,2016,50,14,20,12,8,10,680,52,62,0.79,987,8,"good","NaN",1,NA,21.6166666666667,NA,25.9166666666667,26.65,3.78333333333333,3.78333333333333,12,"1.1.20.12.2016"
"28","1.1.20.2.2015","-4.87461138804839","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,15,20,2,3,47,556,51,67,0.72,989,8,"good",NA,1,NA,24,NA,24.8666666666667,27.2666666666667,4.35,4.35,12,"1.1.20.2.2015"
"29","1.1.20.7.2015","3.32405014356736","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,25,20,7,4,38,491,51,115,0.42,994,8,"good",NA,1,NA,20.8857142857143,NA,22.6428571428571,25.6142857142857,4.95714285714286,4.95714285714286,12,"1.1.20.7.2015"
"30","1.1.20.8.2014","3.60057556919457","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,24,20,8,8,26,675,50,110,0.43,995,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.675,12,"1.1.20.8.2014"
"31","1.1.21.12.2014","4.89148307983505","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,30,21,12,8,12,533,52,81,0.6,987,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.73333333333333,12,"1.1.21.12.2014"
"32","1.1.21.3.2012","11.6971737916571","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,15,21,3,10,19,530,54,67,0.77,992,8,NA,NA,1,NA,18,NA,25.8,25.8,8,8,12,"1.1.21.3.2012"
"33","1.1.21.4.2016","16.1886823668899","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2016,41,24,21,4,10,53,491,52,110,0.44,988,8,"good",NA,1,NA,29.3,NA,24.7285714285714,24.9714285714286,4.47142857142857,4.47142857142857,12,"1.1.21.4.2016"
"34","1.1.22.11.2008","3.02831927665003","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,27,22,11,8,18,569,40,124,0.3,991,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.18892857142857,12,"1.1.22.11.2008"
"35","1.1.22.2.2008","3.60599357514318","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,22,22,2,9,28,468,50,100,0.47,991,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.72238095238095,12,"1.1.22.2.2008"
"36","1.1.22.2.2013","3.33184503994987","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,27,22,2,10,1,463,48,124,0.36,990,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.975,12,"1.1.22.2.2013"
"37","1.1.22.3.2008","3.54730021066232","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,20,22,3,10,22,515,50,91,0.52,991,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.435,12,"1.1.22.3.2008"
"38","1.1.22.5.2014","2.48956272087551","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,27,22,5,22,36,460,39,124,0.3,998,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.30833333333333,12,"1.1.22.5.2014"
"39","1.1.22.6.2007","2.51747118828986","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,22,6,7,29,682,41,124,0.31,994,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.09035714285714,12,"1.1.22.6.2007"
"40","1.1.22.8.2013","1.71706441065866","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,27,22,8,7,51,626,25,124,0.19,985,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.675,12,"1.1.22.8.2013"
"41","1.1.22.9.2008","2.6617769093568","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,27,22,9,9,18,478,38,124,0.29,997,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.87869047619048,12,"1.1.22.9.2008"
"42","1.1.22.9.2014","3.62824024561903","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,21,22,9,22,39,537,51,96,0.51,994,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.18958333333333,12,"1.1.22.9.2014"
"43","1.1.23.1.2008","3.41706893302759","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,22,23,1,9,34,524,50,100,0.46,988,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.5263333333,12,"1.1.23.1.2008"
"44","1.1.23.10.2007","2.69450785763307","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,23,10,8,44,533,49,124,0.37,993,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.17035714285714,12,"1.1.23.10.2007"
"45","1.1.23.2.2010","1.95143262118066","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2010,NA,26,23,2,8,1,525,50,120,0.39,990,8,NA,NA,1,NA,37.5,NA,NA,25.4508076923077,5.66142857142857,5.66142857142857,12,"1.1.23.2.2010"
"46","1.1.23.3.2015","2.36759983955758","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,20,23,3,4,3,464,40,91,0.42,995,8,"good",NA,1,NA,25,NA,25.2,26.5166666666667,4.83333333333333,4.83333333333333,12,"1.1.23.3.2015"
"47","1.1.23.4.2011","4.6031545745122","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,20,23,4,8,49,703,51,91,0.53,992,8,NA,NA,1,NA,25,NA,25.4,25.4,8.95,8.95,12,"1.1.23.4.2011"
"48","1.1.23.6.2006","2.18619831964971","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,23,6,7,46,537,31,124,0.23,996,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.09035714285714,12,"1.1.23.6.2006"
"49","1.1.23.7.2006","1.76796000745368","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,23,7,8,48,639,32,124,0.24,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.76404761904762,12,"1.1.23.7.2006"
"50","1.1.23.8.2015","2.37601670118465","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,21,23,8,3,55,533,50,96,0.49,992,8,"good",NA,1,NA,15.3333333333333,NA,24.9,27.8666666666667,4.05,4.05,12,"1.1.23.8.2015"
"51","1.1.23.9.2013","4.41899381316889","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,21,23,9,7,14,776,50,96,0.49,994,8,NA,NA,1,NA,17.0909090909091,NA,24.2818181818182,24.2818181818182,7.89583333333333,7.89583333333333,12,"1.1.23.9.2013"
"52","1.1.24.1.2007","5.29645684619277","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,20,24,1,7,48,714,53,91,0.55,988,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.5263333333,12,"1.1.24.1.2007"
"53","1.1.24.1.2013","4.98169091835787","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,18,24,1,10,35,444,51,81,0.59,986,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.32857142857143,12,"1.1.24.1.2013"
"54","1.1.24.11.2006","3.02526345497834","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,24,11,7,28,551,49,124,0.37,990,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.18892857142857,12,"1.1.24.11.2006"
"55","1.1.24.11.2009","3.2962415568201","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,24,24,11,7,43,543,50,110,0.43,987,8,NA,NA,1,NA,28.3333333333333,NA,NA,25.4508076923077,5.72071428571429,5.72071428571429,12,"1.1.24.11.2009"
"56","1.1.24.12.2015","3.20421243456431","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,16,24,12,4,40,531,52,72,0.69,992,8,"good",NA,1,NA,24.3333333333333,NA,25.4166666666667,26.8666666666667,3.66666666666667,3.66666666666667,12,"1.1.24.12.2015"
"57","1.1.24.2.2011","2.94627613306517","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,27,24,2,7,13,578,43,124,0.32,988,8,NA,NA,1,NA,35.4285714285714,NA,23.9,10.8,5.83928571428571,5.83928571428571,12,"1.1.24.2.2011"
"58","1.1.24.3.2013","3.56737388565637","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,25,24,3,8,39,715,50,115,0.4,984,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.41666666666667,12,"1.1.24.3.2013"
"59","1.1.24.4.2006","2.10315127312079","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,24,4,8,18,795,31,124,0.23,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.47559523809524,12,"1.1.24.4.2006"
"60","1.1.24.4.2013","3.122836115469","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,27,24,4,7,49,629,48,124,0.36,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.73571428571429,12,"1.1.24.4.2013"
"61","1.1.24.6.2009","3.13182550728482","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,27,24,6,9,8,620,51,124,0.39,994,8,NA,NA,1,NA,26.6666666666667,NA,NA,25.4508076923077,5.93071428571429,5.93071428571429,12,"1.1.24.6.2009"
"62","1.1.24.6.2013","3.50603158505633","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,24,24,6,11,10,533,50,110,0.43,991,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.93333333333333,12,"1.1.24.6.2013"
"63","1.1.24.7.2008","1.64792971437449","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,37,24,7,8,24,775,30,124,0.23,994,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.76404761904762,12,"1.1.24.7.2008"
"64","1.1.24.9.2007","2.82246467037176","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,24,9,9,47,466,35,124,0.26,995,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.87869047619048,12,"1.1.24.9.2007"
"65","1.1.24.9.2011","1.64538911531094","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,27,24,9,9,29,484,25,124,0.19,994,8,NA,NA,1,NA,20,NA,23.2,23.2,8.2,8.2,12,"1.1.24.9.2011"
"66","1.1.25.1.2009","3.54309213355566","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,23,25,1,8,46,560,51,105,0.46,987,8,NA,NA,1,NA,24,NA,NA,25.4508076923077,5.5263333333,5.5263333333,12,"1.1.25.1.2009"
"67","1.1.25.1.2010","3.00704154602419","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2010,NA,26,25,1,8,44,521,51,120,0.4,990,8,NA,NA,1,NA,38,NA,NA,25.4508076923077,6.09714285714286,6.09714285714286,12,"1.1.25.1.2010"
"68","1.1.25.10.2009","1.57780144373711","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,27,25,10,8,23,505,34,124,0.25,988,8,NA,NA,1,NA,26.1666666666667,NA,NA,25.4508076923077,5.89785714285714,5.89785714285714,12,"1.1.25.10.2009"
"69","1.1.25.10.2015","4.27553911163927","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,17,25,10,11,50,458,50,76,0.62,993,8,"good",NA,1,NA,11.4,NA,25.6857142857143,27.1285714285714,4.08571428571429,4.08571428571429,12,"1.1.25.10.2015"
"70","1.1.25.11.2013","4.40156231700933","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,18,25,11,7,47,595,51,81,0.59,986,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.20833333333333,12,"1.1.25.11.2013"
"71","1.1.25.11.2014","3.78207265474538","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,23,25,11,14,5,533,52,105,0.46,981,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.20833333333333,12,"1.1.25.11.2014"
"72","1.1.25.2.2007","3.12997992918124","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,25,2,9,0,505,48,124,0.36,996,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.72238095238095,12,"1.1.25.2.2007"
"73","1.1.25.3.2007","3.55445924236901","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,19,25,3,9,0,521,52,86,0.57,993,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.435,12,"1.1.25.3.2007"
"74","1.1.25.4.2008","2.90912006900811","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,71,25,4,7,54,746,50,124,0.38,991,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.47559523809524,12,"1.1.25.4.2008"
"75","1.1.25.5.2016","NaN","TAM-05",1,"NaN",1,"TOTAL","NaN","NaN","normal",1,2016,50,25,25,5,7,49,601,37,110,0.32,994,8,"good","NaN",1,NA,13.9666666666667,NA,20.95,21.5,4.25,4.25,12,"1.1.25.5.2016"
"76","1.1.25.6.2005","1.84614553807923","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2005,NA,27,25,6,7,47,567,19,124,0.14,994,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.09035714285714,12,"1.1.25.6.2005"
"77","1.1.25.6.2008","1.68506790470374","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,27,25,6,8,44,513,36,124,0.27,998,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.09035714285714,12,"1.1.25.6.2008"
"78","1.1.25.6.2012","3.91150906148861","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,28,25,6,8,55,578,50,115,0.41,998,8,NA,NA,1,NA,47,NA,22.8,22.8,7.8,7.8,12,"1.1.25.6.2012"
"79","1.1.25.6.2015","1.34444493909167","TAM-05",25,"4,4",1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,19,25,6,3,36,525,51,86,0.56,999,8,"good",NA,1,NA,18.35,NA,22.8833333333333,23.6166666666667,4.06666666666667,4.06666666666667,12,"1.1.25.6.2015"
"80","1.1.25.8.2006","1.527411294932","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,25,8,9,7,576,21,124,0.16,993,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.31071428571429,12,"1.1.25.8.2006"
"81","1.1.25.8.2009","2.63777841926205","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,27,25,8,7,16,506,43,124,0.33,993,8,NA,NA,1,NA,18.75,NA,NA,25.4508076923077,6.85,6.85,12,"1.1.25.8.2009"
"82","1.1.25.8.2011","1.0074729966106","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,27,25,8,10,1,571,16,124,0.12,996,8,NA,NA,1,NA,15,NA,21.1,21.1,8.1,8.1,12,"1.1.25.8.2011"
"83","1.1.26.10.2005","4.70114286339304","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2005,NA,20,26,10,8,47,506,52,91,0.54,990,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.17035714285714,12,"1.1.26.10.2005"
"84","1.1.26.10.2006","3.70121723848087","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,25,26,10,8,33,516,50,115,0.41,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.17035714285714,12,"1.1.26.10.2006"
"85","1.1.26.10.2008","2.52355720805514","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,27,26,10,8,30,496,37,124,0.28,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.17035714285714,12,"1.1.26.10.2008"
"86","1.1.26.10.2011","5.77152664897954","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,16,26,10,11,13,499,53,72,0.7,991,8,NA,NA,1,NA,25,NA,23.6,23.6,7.8,7.8,12,"1.1.26.10.2011"
"87","1.1.26.12.2015","4.38360784728662","TAM-05",21,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,31,24,26,12,13,40,528,50,57,0.82,984,8,"good",NA,1,NA,24.3333333333333,NA,25.4166666666667,26.8666666666667,3.66666666666667,3.66666666666667,12,"1.1.26.12.2015"
"88","1.1.26.2.2016","-9.26742361332111","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2016,41,18,26,2,4,30,521,50,81,0.58,989,8,"good",NA,1,NA,25.5,NA,25.9,26.65,3.8,3.8,12,"1.1.26.2.2016"
"89","1.1.26.3.2009","4.10262364282574","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,22,26,3,8,56,514,52,100,0.49,990,8,NA,NA,1,NA,35.25,NA,NA,25.4508076923077,5.07,5.07,12,"1.1.26.3.2009"
"90","1.1.26.4.2009","4.04350984611876","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,25,26,4,8,22,700,52,96,0.51,995,8,NA,NA,1,NA,25.3125,NA,NA,25.4508076923077,5.86785714285714,5.86785714285714,12,"1.1.26.4.2009"
"91","1.1.26.5.2008","2.18694020286554","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,27,26,5,8,37,579,39,124,0.29,992,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.16917582417582,12,"1.1.26.5.2008"
"92","1.1.26.5.2012","5.51339457724791","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,16,26,5,10,48,494,51,72,0.67,994,8,NA,NA,1,NA,14,NA,23.7,23.7,7.6,7.6,12,"1.1.26.5.2012"
"93","1.1.26.8.2008","1.35769892882845","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,28,26,8,8,3,562,22,124,0.17,993,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.31071428571429,12,"1.1.26.8.2008"
"94","1.1.26.8.2012","4.42332149237727","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,24,26,8,8,58,474,50,110,0.43,1000,8,NA,NA,1,NA,5,NA,21.6,21.6,7.3,7.3,12,"1.1.26.8.2012"
"95","1.1.26.9.2009","2.95995315611486","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,31,26,9,6,41,678,50,124,0.38,990,8,NA,NA,1,NA,27.625,NA,NA,25.4508076923077,5.84071428571429,5.84071428571429,12,"1.1.26.9.2009"
"96","1.1.27.1.2011","2.97142160277046","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,27,27,1,7,59,501,48,124,0.36,990,8,NA,NA,1,NA,37.7142857142857,NA,23.4,23.4,6.44642857142857,6.44642857142857,12,"1.1.27.1.2011"
"97","1.1.27.11.2005","2.68097421330067","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2005,NA,27,27,11,9,35,503,51,124,0.38,987,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.18892857142857,12,"1.1.27.11.2005"
