"","codew","flux","plot_code","sub_plot","plot_corner_code","collar_number","measurement_code","treatment_code_partitioning","disturbance_code_control","litter_code","replica","year","egm_measurement","recno","day","month","hour","min","co2ref_ppm_sec","InputD","time","InputF","atmp_mb","probe_type","quality_code","comments","collar_num","vwc_percent_in","vwc_percent_out","soil_temp_c_in","soil_temp_c_out","air_temp_c","collar_height_cm","codew","collar_diam"
"11","1.1.23.4.2011","0.17311988553126","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,11,27,23,4,15,47,435,23,124,0.15,857,8,"good","check numbers of sub_plot",1,NA,26,NA,NA,10.586231884058,9.33333333333333,"1.1.23.4.2011",12
"12","1.1.23.5.2009","0.151989967180537","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,1,27,23,5,14,56,563,16,124,0.1,836,NA,"good","check numbers of sub_plot",1,NA,22.6,NA,NA,10.586231884058,6.45285714285714,"1.1.23.5.2009",12
"13","1.1.24.10.2013","0.268126093244937","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,27,24,10,11,47,505,37,124,0.24,853,8,"good","check numbers of sub_plot",1,NA,37.9833333333333,NA,18.6,18.6,6.23333333333333,"1.1.24.10.2013",12
"14","1.1.25.1.2012","0.189543043866956","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,11,27,25,1,14,10,472,32,124,0.21,853,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.25.1.2012",12
"15","1.1.25.11.2013","0.276172953110223","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,26,25,11,14,19,480,51,120,0.34,849,8,"good","check numbers of sub_plot",1,NA,44.55,NA,19.5833333333333,19.5833333333333,5.9,"1.1.25.11.2013",12
"16","1.1.25.5.2013","0.203062134940824","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,27,25,5,10,52,514,37,124,0.24,858,8,"good","check numbers of sub_plot",1,NA,36.7333333333333,NA,17.4666666666667,17.4666666666667,5.68333333333333,"1.1.25.5.2013",12
"17","1.1.27.7.2013","0.202545244065759","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,27,27,7,16,23,517,39,124,0.25,854,8,"good","check numbers of sub_plot",1,NA,29.2166666666667,NA,16.85,16.85,5.98333333333333,"1.1.27.7.2013",12
"18","1.1.28.6.2013","0.318326034677792","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,18,28,6,14,46,486,50,81,0.5,851,8,"good","check numbers of sub_plot",1,NA,42.5333333333333,NA,17.9833333333333,17.9833333333333,5.35,"1.1.28.6.2013",12
"19","1.1.29.1.2011","0.277315027838172","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,27,29,1,15,41,540,40,124,0.27,858,8,"good","check numbers of sub_plot",1,NA,39.6666666666667,NA,NA,10.586231884058,7.6,"1.1.29.1.2011",12
"20","1.1.29.2.2012","0.224268024407007","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,1,27,29,2,15,50,532,36,124,0.23,854,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.29.2.2012",12
"21","1.1.29.8.2013","0.20325321328272","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,27,29,8,15,6,474,37,124,0.24,856,8,"good","check numbers of sub_plot",1,NA,37.2833333333333,NA,16.5166666666667,16.5166666666667,6.28333333333333,"1.1.29.8.2013",12
"22","1.1.29.9.2013","0.286425873762365","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,27,29,9,10,46,495,49,124,0.32,856,8,"good","check numbers of sub_plot",1,NA,38.5666666666667,NA,18.05,18.05,5.71666666666667,"1.1.29.9.2013",12
"23","1.1.30.10.2011","0.224793242262761","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,27,30,10,14,18,476,39,124,0.25,856,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.30.10.2011",12
"24","1.1.4.7.2011","0.15617150933981","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,53,4,7,15,55,444,23,124,0.15,859,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.4.7.2011",12
"25","1.1.7.3.2009","0.253013601666164","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,1,27,7,3,15,23,489,45,124,0.28,835,NA,"good","check numbers of sub_plot",1,NA,44.5,NA,NA,10.586231884058,4.75,"1.1.7.3.2009",12
"26","1.2.11.6.2011","0.138980724907242","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,33,11,6,10,16,454,24,124,0.15,860,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.11.6.2011",12
"27","1.2.17.11.2011","0.207986270878629","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,27,17,11,9,3,455,35,124,0.23,858,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.17.11.2011",12
"28","1.2.17.12.2013","0.406530171776301","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,27,17,12,13,42,461,50,48,0.85,849,8,"good","check numbers of sub_plot",1,NA,32.9,NA,19.3,19.3,8.2,"1.2.17.12.2013",12
"29","1.2.17.9.2011","0.225318460118515","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,12,31,17,9,17,8,488,38,124,0.25,858,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.17.9.2011",12
"30","1.2.18.5.2011","0.13833430293093","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,27,18,5,18,50,438,25,124,0.16,856,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.18.5.2011",12
"31","1.2.18.8.2011","0.207743862637512","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,27,18,8,10,49,473,41,124,0.27,857,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.18.8.2011",12
"32","1.2.19.12.2011","0.190654081638743","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,22,27,19,12,11,58,475,32,124,0.21,858,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.19.12.2011",12
"33","1.2.19.2.2011","0.378800697634405","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,12,25,19,2,10,47,455,52,115,0.36,853,8,"good","check numbers of sub_plot",1,NA,36.1666666666667,NA,NA,10.8,7.11666666666667,"1.2.19.2.2011",12
"34","1.2.21.3.2011","0.189089453315614","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,12,27,21,3,20,26,445,27,124,0.17,851,8,"good","check numbers of sub_plot",1,NA,40,NA,NA,10.6,9.86666666666667,"1.2.21.3.2011",12
"35","1.2.23.4.2011","0.17311988553126","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,12,27,23,4,15,49,437,23,124,0.15,857,8,"good","check numbers of sub_plot",1,NA,26,NA,NA,10.586231884058,9.33333333333333,"1.2.23.4.2011",12
"36","1.2.23.5.2009","0.168877741311707","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2009,2,32,23,5,15,3,535,23,124,0.15,836,NA,"good","check numbers of sub_plot",1,NA,22.6,NA,NA,10.586231884058,6.45285714285714,"1.2.23.5.2009",12
"37","1.2.24.10.2013","0.251196012922409","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,27,24,10,11,50,496,47,124,0.31,853,8,"good","check numbers of sub_plot",1,NA,32.8,NA,18.8,18.8,9.8,"1.2.24.10.2013",12
"38","1.2.25.1.2012","0.206774229673043","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2012,12,27,25,1,14,13,473,38,124,0.24,853,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.25.1.2012",12
"39","1.2.25.11.2013","0.299201814386894","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,53,25,11,14,26,496,44,124,0.29,849,8,"good","check numbers of sub_plot",1,NA,49.2,NA,19.6,19.6,8.6,"1.2.25.11.2013",12
"40","1.2.25.5.2013","0.219958750552024","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,27,25,5,10,56,503,38,124,0.24,858,8,"good","check numbers of sub_plot",1,NA,36.5,NA,17.5,17.5,8.6,"1.2.25.5.2013",12
"41","1.2.27.7.2013","0.202789990606146","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,27,27,7,16,26,510,42,124,0.27,854,8,"good","check numbers of sub_plot",1,NA,30.2,NA,16.5,16.5,8.7,"1.2.27.7.2013",12
"42","1.2.28.6.2013","0.318089306890434","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,17,28,6,14,48,488,50,76,0.53,851,8,"good","check numbers of sub_plot",1,NA,43.3,NA,18.2,18.2,8.8,"1.2.28.6.2013",12
"43","1.2.29.1.2011","0.2426506493584","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,27,29,1,15,44,456,42,124,0.27,858,8,"good","check numbers of sub_plot",1,NA,39.6666666666667,NA,NA,10.586231884058,7.6,"1.2.29.1.2011",12
"44","1.2.29.2.2012","0.172917878663662","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2012,2,27,29,2,15,54,501,37,124,0.24,856,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.29.2.2012",12
"45","1.2.29.8.2013","0.198371305384532","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,26,29,8,15,9,474,50,120,0.34,856,8,"good","check numbers of sub_plot",1,NA,46.7,NA,16.9,16.9,8.4,"1.2.29.8.2013",12
"46","1.2.29.9.2013","0.319738734018464","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2013,2,23,29,9,10,49,494,51,105,0.39,856,8,"good","check numbers of sub_plot",1,NA,43.2,NA,18.4,18.4,8.3,"1.2.29.9.2013",12
"47","1.2.30.10.2011","0.224793242262761","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,27,30,10,14,21,481,41,124,0.26,856,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.30.10.2011",12
"48","1.2.4.7.2011","0.138980724907242","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2011,2,27,4,7,15,58,441,22,124,0.14,860,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.2.4.7.2011",12
"49","1.2.7.3.2009","0.202410881332932","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,2,2009,2,27,7,3,15,27,499,38,124,0.24,835,NA,"good","check numbers of sub_plot",1,NA,44.5,NA,NA,10.586231884058,4.75,"1.2.7.3.2009",12
"50","1.NA.14.8.2009","0.16867573444411","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,1.2,27,14,8,8,31,490,32,124,0.2,835,NA,"good","check numbers of sub_plot",1,NA,23.1153846153846,NA,NA,10.586231884058,4.47678947368421,"1.NA.14.8.2009",12
"51","1.NA.15.9.2009","0.186513825329953","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,1.2,27,15,9,7,16,473,38,124,0.24,840,NA,"good","check numbers of sub_plot",1,NA,27.8031496062992,NA,NA,10.8,4.22381720430107,"1.NA.15.9.2009",12
"52","1.NA.16.12.2009","0.218753236921588","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,1,27,16,12,12,48,451,33,124,0.21,833,NA,"good","check numbers of sub_plot",1,NA,30.8115942028986,NA,NA,10.586231884058,3.35863309352518,"1.NA.16.12.2009",12
"53","1.NA.16.7.2009","0.236146028221753","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,1.2,53,16,7,13,45,488,44,124,0.28,835,NA,"good","check numbers of sub_plot",1,NA,24.7909090909091,NA,NA,10.586231884058,4.17352941176471,"1.NA.16.7.2009",12
"54","1.NA.17.6.2009","0.16867573444411","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,1.2,27,17,6,13,43,462,28,124,0.18,835,NA,"good","check numbers of sub_plot",1,NA,30.1071428571429,NA,NA,10.586231884058,4.55045000000001,"1.NA.17.6.2009",12
"55","1.NA.21.10.2009","0.252104570761975","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,NA,30,21,10,16,29,468,50,124,0.32,832,NA,"good","check numbers of sub_plot",1,NA,27.4242424242424,NA,NA,10.586231884058,3.75490566037736,"1.NA.21.10.2009",12
"56","1.NA.8.4.2009","0.219340187625956","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,NA,2009,1.2,27,8,4,13,19,487,40,124,0.25,834,NA,"good","check numbers of sub_plot",1,NA,25.9253333333333,NA,NA,10.1666666666667,4.5773,"1.NA.8.4.2009",12
"57","10.1.11.6.2011","0.225843677974269","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,31,11,6,12,8,453,33,124,0.21,860,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.11.6.2011",12
"58","10.1.16.6.2010","0.269881175110575","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,27,16,6,11,28,529,38,124,0.24,835,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.16.6.2010",12
"59","10.1.16.9.2010","0.202410881332932","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,27,16,9,10,7,503,30,124,0.19,835,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.16.9.2010",12
"60","10.1.17.11.2011","0.363975974037601","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,25,17,11,10,16,470,50,115,0.36,858,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.17.11.2011",12
"61","10.1.17.12.2010","0.233317932075385","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,21,27,17,12,22,4,451,39,124,0.24,825,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.17.12.2010",12
"62","10.1.17.12.2013","0.531923764465085","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,18,17,12,16,14,468,51,62,0.66,848,8,"good","check numbers of sub_plot",10,NA,36.9333333333333,NA,19.25,19.25,4.58333333333333,"10.1.17.12.2013",12
"63","10.1.17.7.2010","0.220066281560974","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,27,17,7,12,1,474,34,124,0.22,838,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.17.7.2010",12
"64","10.1.17.9.2011","0.483038821799706","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,3,20,17,9,21,49,510,52,91,0.46,854,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.17.9.2011",12
"65","10.1.18.5.2011","0.276022183885547","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,27,18,5,21,49,483,40,124,0.26,854,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.18.5.2011",12
"66","10.1.18.8.2011","0.398175736721897","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,23,18,8,12,19,488,52,105,0.4,857,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.18.8.2011",12
"67","10.1.19.10.2010","0.268911542146106","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,25,19,10,16,2,595,51,115,0.35,832,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.19.10.2010",12
"68","10.1.19.12.2011","0.380863748168771","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,3,24,19,12,13,16,485,50,110,0.37,857,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.19.12.2011",12
"69","10.1.20.1.2010","0.6546308008415","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,NA,11,20,1,17,1,591,50,48,0.83,829,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.20.1.2010",12
"70","10.1.20.2.2011","0.379086087733911","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,13,46,20,2,10,23,465,50,100,0.4,853,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.20.2.2011",12
"71","10.1.21.11.2010","0.402882496736925","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,23,21,11,11,50,513,51,105,0.38,831,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.21.11.2010",12
"72","10.1.21.3.2011","0.275052550921077","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,5,27,21,3,22,26,487,45,124,0.29,851,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.21.3.2011",12
"73","10.1.21.4.2010","0.286061925205154","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,29,21,4,12,27,471,45,124,0.29,833,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.21.4.2010",12
"74","10.1.21.8.2010","0.253316611967561","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,41,21,8,13,55,521,38,124,0.24,836,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.21.8.2010",12
"75","10.1.23.10.2013","0.732604197372001","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,11,23,10,17,16,488,53,48,0.9,848,8,"good","check numbers of sub_plot",10,NA,40.1,NA,18.6166666666667,18.6166666666667,4.48333333333333,"10.1.23.10.2013",12
"76","10.1.23.4.2011","0.36312754519369","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,39,27,23,4,17,26,450,46,124,0.3,856,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.23.4.2011",12
"77","10.1.23.5.2009","0.118073014110877","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2009,17,27,23,5,16,28,491,21,124,0.13,835,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.23.5.2009",12
"78","10.1.23.5.2010","0.335735413947437","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2010,10.1,25,23,5,11,49,506,52,115,0.35,831,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.23.5.2010",12
"79","10.1.25.1.2012","0.464696598221832","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2012,3,19,25,1,16,0,551,50,81,0.5,852,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.25.1.2012",12
"80","10.1.25.11.2013","0.45037277884326","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,22,25,11,13,8,479,52,100,0.42,851,8,"good","check numbers of sub_plot",10,NA,40.25,NA,19.2666666666667,19.2666666666667,6.1,"10.1.25.11.2013",12
"81","10.1.25.5.2013","0.405813843592474","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,19,25,5,12,45,509,51,86,0.48,857,8,"good","check numbers of sub_plot",10,NA,36.4166666666667,NA,17.35,17.35,4.71666666666667,"10.1.25.5.2013",12
"82","10.1.27.7.2013","0.355468143407161","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,22,27,7,17,7,489,51,100,0.42,856,8,"good","check numbers of sub_plot",10,NA,26.3166666666667,NA,16.7,16.7,4.8,"10.1.27.7.2013",12
"83","10.1.28.6.2013","0.503210677615459","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,22,28,6,13,32,508,53,76,0.56,852,8,"good","check numbers of sub_plot",10,NA,37.7833333333333,NA,17.9833333333333,17.9833333333333,4.76666666666667,"10.1.28.6.2013",12
"84","10.1.29.1.2011","0.641291001875773","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,14,29,1,17,4,456,52,62,0.69,858,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.29.1.2011",12
"85","10.1.29.2.2012","0.464151179679318","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2012,15,18,29,2,21,35,510,52,81,0.52,851,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.29.2.2012",12
"86","10.1.29.8.2013","0.339112074455223","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,27,29,8,14,17,503,50,115,0.35,857,8,"good","check numbers of sub_plot",10,NA,32.15,NA,16.55,16.55,5.2,"10.1.29.8.2013",12
"87","10.1.29.9.2013","0.471895305966981","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,19,20,29,9,10,1,537,51,91,0.46,856,8,"good","check numbers of sub_plot",10,NA,34.3833333333333,NA,17.9666666666667,17.9666666666667,4.66666666666667,"10.1.29.9.2013",12
"88","10.1.30.10.2011","0.397711120926423","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,26,30,10,15,32,482,52,115,0.37,856,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.30.10.2011",12
"89","10.1.4.7.2011","0.173523899266455","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,19,27,4,7,17,19,436,26,124,0.17,859,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.4.7.2011",12
"90","10.1.7.3.2009","0.168473727576512","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,1,2009,19,27,7,3,16,45,471,25,124,0.16,834,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.1.7.3.2009",12
"91","10.2.11.6.2011","0.208471087360864","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,20,27,11,6,12,11,462,29,124,0.19,860,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.11.6.2011",12
"92","10.2.16.6.2010","0.269881175110575","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2010,10.2,27,16,6,11,31,506,43,124,0.27,835,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.16.6.2010",12
"93","10.2.16.9.2010","0.235863218607117","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2010,10.2,27,16,9,10,10,515,34,124,0.22,834,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.16.9.2010",12
"94","10.2.17.11.2011","0.363975974037601","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,20,24,17,11,10,19,466,51,110,0.37,858,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.17.11.2011",12
"95","10.2.17.12.2010","0.266649065229012","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2010,22,27,17,12,22,8,461,44,124,0.28,825,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.17.12.2010",12
"96","10.2.17.12.2013","0.448733943376961","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,20,18,17,12,16,17,466,52,81,0.52,848,8,"good","check numbers of sub_plot",10,NA,37.3,NA,19.3,19.3,2.8,"10.2.17.12.2013",12
"97","10.2.17.7.2010","0.253922632570354","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2010,10.2,27,17,7,12,4,474,46,124,0.29,838,NA,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.17.7.2010",12
"98","10.2.17.9.2011","0.483038821799706","SPD-02",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,4,18,17,9,21,52,472,50,81,0.5,854,8,"good","check numbers of sub_plot",10,NA,NA,NA,NA,10.586231884058,NA,"10.2.17.9.2011",12
