Plot,Day,plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,Total weigth,Notes
PAN-02,22,PAN-02,2013,6,NA,5,0.25,8.04,5.3,0.02,,,,,13.36,
PAN-02,22,PAN-02,2013,6,NA,6,0.25,11.8,0,,,,0.06,,11.86,
PAN-02,22,PAN-02,2013,6,NA,7,0.25,12.99,0,,,,,,12.99,
PAN-02,22,PAN-02,2013,6,NA,8,0.25,9.89,0.09,2.31,,,,,12.29,
PAN-02,22,PAN-02,2013,6,NA,9,0.25,6.05,0.43,0.79,0.25,,0.02,,7.54,
PAN-02,22,PAN-02,2013,6,NA,10,0.25,7.03,0,,0.01,,,,7.04,
PAN-02,22,PAN-02,2013,6,NA,11,0.25,10.43,0.06,0.2,2.95,0.07,,,13.71,
PAN-02,22,PAN-02,2013,6,NA,12,0.25,5.14,0.07,,,,,,5.21,
PAN-02,22,PAN-02,2013,6,NA,13,0.25,7.71,0.72,,0.92,,,,9.35,
PAN-02,22,PAN-02,2013,6,NA,14,0.25,9.68,0,,,,,0.07,9.75,
PAN-02,22,PAN-02,2013,6,NA,15,0.25,7.67,0,,,0.45,,,8.12,
PAN-02,22,PAN-02,2013,6,NA,16,0.25,5.21,0,,,,,0.01,5.22,
PAN-02,22,PAN-02,2013,6,NA,17,0.25,8.32,3.36,,1.55,,,,13.23,
PAN-02,22,PAN-02,2013,6,NA,18,0.25,10.43,0,,,,,,10.43,
PAN-02,22,PAN-02,2013,6,NA,19,0.25,6.07,0.71,0.25,,0.19,,,7.22,
PAN-02,22,PAN-02,2013,6,NA,20,0.25,4.01,0,,,,,,4.01,
PAN-02,22,PAN-02,2013,6,NA,21,0.25,5.01,0,0.26,0.24,,,,5.51,
PAN-02,22,PAN-02,2013,6,NA,22,0.25,7.75,0,1.58,,,,0.09,9.42,
PAN-02,22,PAN-02,2013,6,NA,23,0.25,6.03,3.95,,0.05,,,,10.03,
PAN-02,22,PAN-02,2013,6,NA,24,0.25,5.59,0,0.02,0.02,,,,5.63,
PAN-02,22,PAN-02,2013,6,NA,25,0.25,33.96,0,,0.18,,,,34.14,
PAN-02,26,PAN-02,2013,7,NA,1,0.25,10.16,0.6,0.81,,,,,11.57,
PAN-02,26,PAN-02,2013,7,NA,2,0.25,15.37,15.94,0.03,,,,,31.34,
PAN-02,26,PAN-02,2013,7,NA,3,0.25,8.24,0,,,,0.02,,8.26,
PAN-02,26,PAN-02,2013,7,NA,4,0.25,14.72,1.24,0.09,,,,,16.05,
PAN-02,26,PAN-02,2013,7,NA,5,0.25,7.97,0.19,,,,0.02,,8.18,
PAN-02,26,PAN-02,2013,7,NA,6,0.25,13.24,0.45,0.08,,,,,13.77,
PAN-02,26,PAN-02,2013,7,NA,7,0.25,12.03,9.18,0.03,,,,,21.24,
PAN-02,26,PAN-02,2013,7,NA,8,0.25,13.46,0.67,1.84,,,,,15.97,
PAN-02,26,PAN-02,2013,7,NA,9,0.25,23.68,9.85,0.05,,,,,33.58,
PAN-02,26,PAN-02,2013,7,NA,10,0.25,16.25,2.19,,0.47,,,,18.91,
PAN-02,26,PAN-02,2013,7,NA,11,0.25,18,1.1,0.15,1.44,,,,20.69,
PAN-02,26,PAN-02,2013,7,NA,12,0.25,5.39,0,0.01,,,,,5.4,
PAN-02,26,PAN-02,2013,7,NA,13,0.25,12.12,0.25,0.21,0.21,,,,12.79,
PAN-02,26,PAN-02,2013,7,NA,14,0.25,10.11,0,0.05,,,,,10.16,
PAN-02,26,PAN-02,2013,7,NA,15,0.25,7.87,0.35,,,,0.08,,8.3,
PAN-02,26,PAN-02,2013,7,NA,16,0.25,15.49,7.39,,,,0.06,,22.94,
PAN-02,26,PAN-02,2013,7,NA,17,0.25,16.52,0.36,0.22,0.04,,0.06,,17.2,
PAN-02,26,PAN-02,2013,7,NA,18,0.25,22.28,0.32,,0.5,,,,23.1,
PAN-02,26,PAN-02,2013,7,NA,19,0.25,3.27,0,0.18,,,,,3.45,
PAN-02,26,PAN-02,2013,7,NA,20,0.25,15.82,1.27,,,,,,17.09,
PAN-02,26,PAN-02,2013,7,NA,21,0.25,7.63,3.89,,0.16,,0.05,,11.73,
PAN-02,26,PAN-02,2013,7,NA,22,0.25,13.41,77.42,4.84,0.7,,0.03,,96.4,
PAN-02,26,PAN-02,2013,7,NA,23,0.25,8.42,8.8,,,,,,17.22,
PAN-02,26,PAN-02,2013,7,NA,24,0.25,11.82,1.94,0.08,,,,,13.84,
PAN-02,26,PAN-02,2013,7,NA,25,0.25,17.22,3.91,2.92,,,,,24.05,
PAN-02,25,PAN-02,2013,8,NA,1,0.25,18.44,5.74,1.046,1.95,,,,27.176,
PAN-02,25,PAN-02,2013,8,NA,2,0.25,20.55,2.14,,0.05,,,,22.74,
PAN-02,25,PAN-02,2013,8,NA,3,0.25,16.42,1.12,,0.65,,0.11,,18.3,
PAN-02,25,PAN-02,2013,8,NA,4,0.25,7.94,20.06,0.23,,0.52,0.08,,28.83,
PAN-02,25,PAN-02,2013,8,NA,5,0.25,30.62,5.28,,,,0.03,,35.93,
PAN-02,25,PAN-02,2013,8,NA,6,0.25,8.45,0,,,0.4,,,8.85,
PAN-02,25,PAN-02,2013,8,NA,7,0.25,17.03,3.13,,0.34,,,,20.5,
PAN-02,25,PAN-02,2013,8,NA,8,0.25,22.18,0,0.39,,,,,22.57,
PAN-02,25,PAN-02,2013,8,NA,9,0.25,27.1,0,,,,,,27.1,
PAN-02,25,PAN-02,2013,8,NA,10,0.25,34.78,0.24,,3.62,,,,38.64,
PAN-02,25,PAN-02,2013,8,NA,11,0.25,17.18,2.58,0.4,1.85,,,,22.01,
PAN-02,25,PAN-02,2013,8,NA,12,0.25,12.49,0,,0.07,,,,12.56,
PAN-02,25,PAN-02,2013,8,NA,13,0.25,16.23,12.97,0.08,0.06,,,,29.34,
PAN-02,25,PAN-02,2013,8,NA,14,0.25,12.62,0.33,0.02,,,,0.17,13.14,
PAN-02,25,PAN-02,2013,8,NA,15,0.25,20.44,1.86,,0.16,0.16,,,22.62,
PAN-02,25,PAN-02,2013,8,NA,16,0.25,35.58,0.59,,,,,,36.17,
PAN-02,25,PAN-02,2013,8,NA,17,0.25,23.39,2.2,0.06,0.39,,0.36,,26.4,
PAN-02,25,PAN-02,2013,8,NA,18,0.25,16.5,1.78,,0.37,,,,18.65,
PAN-02,25,PAN-02,2013,8,NA,19,0.25,13.19,33.88,0.03,,,,,47.1,
PAN-02,25,PAN-02,2013,8,NA,20,0.25,28.11,0,0.39,,,,,28.5,
PAN-02,25,PAN-02,2013,8,NA,21,0.25,20.98,9.15,,0.31,,0.02,,30.46,
PAN-02,25,PAN-02,2013,8,NA,22,0.25,17.19,0.19,4.13,0.18,,0.06,0.52,22.27,
PAN-02,25,PAN-02,2013,8,NA,23,0.25,15.32,6.89,0.27,0.27,,,,22.75,
PAN-02,25,PAN-02,2013,8,NA,24,0.25,14.71,2.87,0.59,0.05,,,,18.22,
PAN-02,25,PAN-02,2013,8,NA,25,0.25,20.03,2.16,,0.05,,,,22.24,
PAN-02,22,PAN-02,2013,9,NA,1,0.25,24.68,1.23,,1.81,,,,27.72,
PAN-02,22,PAN-02,2013,9,NA,2,0.25,27.56,0.37,0.06,0.28,,,,28.27,
PAN-02,22,PAN-02,2013,9,NA,3,0.25,12.24,1.64,0.02,,,0.05,,13.95,
PAN-02,22,PAN-02,2013,9,NA,4,0.25,9.24,4.99,0.12,,,,,14.35,
PAN-02,22,PAN-02,2013,9,NA,5,0.25,8.68,0.17,0.05,,,0.01,,8.91,
PAN-02,22,PAN-02,2013,9,NA,6,0.25,12.23,6.35,0.12,0.45,,,,19.15,
PAN-02,22,PAN-02,2013,9,NA,7,0.25,17.57,15.76,,0.22,,,,33.55,
PAN-02,22,PAN-02,2013,9,NA,8,0.25,31.83,7.1,0.06,0.2,,0.04,,39.23,
PAN-02,22,PAN-02,2013,9,NA,9,0.25,23.68,0.53,,0.1,,,,24.31,
PAN-02,22,PAN-02,2013,9,NA,10,0.25,26.8,0.43,0.64,4.25,,,0.07,32.19,
PAN-02,22,PAN-02,2013,9,NA,11,0.25,21.48,4.03,,2.37,,0.04,,27.92,
PAN-02,22,PAN-02,2013,9,NA,12,0.25,14.62,0,,,,,,14.62,
PAN-02,22,PAN-02,2013,9,NA,13,0.25,25.34,2.28,0.23,0.23,,,,28.08,
PAN-02,22,PAN-02,2013,9,NA,14,0.25,35.19,0,0.6,,,,,35.79,
PAN-02,22,PAN-02,2013,9,NA,15,0.25,13.76,0.18,3.86,,,0.02,,17.82,
PAN-02,22,PAN-02,2013,9,NA,16,0.25,27.2,3.7,,,,,,30.9,
PAN-02,22,PAN-02,2013,9,NA,17,0.25,35.21,3.5,,3.13,,0.08,,41.92,
PAN-02,22,PAN-02,2013,9,NA,18,0.25,26.14,0.29,,0.59,,,0.08,27.1,
PAN-02,22,PAN-02,2013,9,NA,19,0.25,29.92,1.91,,,,0.02,,31.85,
PAN-02,22,PAN-02,2013,9,NA,20,0.25,21.57,0,0.69,,,,0.04,22.3,
PAN-02,22,PAN-02,2013,9,NA,21,0.25,20.91,5.45,3.7,2.02,,,,32.08,
PAN-02,22,PAN-02,2013,9,NA,22,0.25,35.01,1.24,,2.19,,0.01,,38.45,
PAN-02,22,PAN-02,2013,9,NA,23,0.25,19.56,18.1,,0.03,,,,37.69,
PAN-02,22,PAN-02,2013,9,NA,24,0.25,19.13,0,0.6,0.06,,,0.76,20.55,
PAN-02,22,PAN-02,2013,9,NA,25,0.25,24.69,8.03,1.07,0.47,,,,34.26,
PAN-02,21,PAN-02,2013,10,NA,1,0.25,17.57,7.14,,0.07,,,,24.78,
PAN-02,21,PAN-02,2013,10,NA,2,0.25,13.38,0,0.4,,,,0.98,14.76,
PAN-02,21,PAN-02,2013,10,NA,3,0.25,10.47,0.11,,,,,,10.58,
PAN-02,21,PAN-02,2013,10,NA,4,0.25,10.3,4.24,3.93,1.23,,,0.6,20.3,
PAN-02,21,PAN-02,2013,10,NA,5,0.25,6.34,0,,,,,,6.34,
PAN-02,21,PAN-02,2013,10,NA,6,0.25,20.39,1.38,0.97,0.07,,0.16,0.12,23.09,
PAN-02,21,PAN-02,2013,10,NA,7,0.25,8.94,0,0.08,,,,,9.02,
PAN-02,21,PAN-02,2013,10,NA,8,0.25,14.35,0,0.63,0.38,,,,15.36,
PAN-02,21,PAN-02,2013,10,NA,9,0.25,23.46,0,0.01,,,,,23.47,
PAN-02,21,PAN-02,2013,10,NA,10,0.25,18.8,0,0.08,,,,,18.88,
PAN-02,21,PAN-02,2013,10,NA,11,0.25,9.59,0.51,3.28,0.52,0.28,,,14.18,
PAN-02,21,PAN-02,2013,10,NA,12,0.25,8.47,0,,,,,,8.47,
PAN-02,21,PAN-02,2013,10,NA,13,0.25,16.97,0.9,0.18,,,0.01,,18.06,
PAN-02,21,PAN-02,2013,10,NA,14,0.25,16.75,0,0.23,,,,,16.98,
PAN-02,21,PAN-02,2013,10,NA,15,0.25,11.34,0.19,1.12,0.13,0.15,,0.3,13.23,
PAN-02,21,PAN-02,2013,10,NA,16,0.25,17.02,0.49,0.92,,,,,18.43,
PAN-02,21,PAN-02,2013,10,NA,17,0.25,25.64,1.66,1.38,,,0.02,,28.7,
PAN-02,21,PAN-02,2013,10,NA,18,0.25,25.5,1.26,0.59,,,,0.03,27.38,
PAN-02,21,PAN-02,2013,10,NA,19,0.25,26.08,0.53,,1.02,,0.03,,27.66,
PAN-02,21,PAN-02,2013,10,NA,20,0.25,9.91,1.37,0.65,,,,,11.93,
PAN-02,21,PAN-02,2013,10,NA,21,0.25,10.05,0,0.18,1.82,,,,12.05,
PAN-02,21,PAN-02,2013,10,NA,22,0.25,15.28,4.12,,0.43,,,,19.83,
PAN-02,21,PAN-02,2013,10,NA,23,0.25,12.47,12.64,,,0.01,,,25.12,
PAN-02,21,PAN-02,2013,10,NA,24,0.25,12.22,0.33,2.29,0.27,,,,15.11,
PAN-02,21,PAN-02,2013,10,NA,25,0.25,14.05,0.28,,1.15,,,,15.48,
PAN-02,20,PAN-02,2013,11,NA,1,0.25,22.01,21.59,,,,0.01,,43.61,
PAN-02,20,PAN-02,2013,11,NA,2,0.25,20.36,0.62,0.47,0.04,,,,21.49,
PAN-02,20,PAN-02,2013,11,NA,3,0.25,32.63,16.69,0.28,,,0.09,,49.69,
PAN-02,20,PAN-02,2013,11,NA,4,0.25,13.7,12.32,0.53,1.23,,,,27.78,
PAN-02,20,PAN-02,2013,11,NA,5,0.25,11.72,0,0.27,,,,,11.99,
PAN-02,20,PAN-02,2013,11,NA,6,0.25,18.37,0.72,5.07,0.73,,0.03,,24.92,
PAN-02,20,PAN-02,2013,11,NA,7,0.25,25.92,13.4,,0.29,,,,39.61,
PAN-02,20,PAN-02,2013,11,NA,8,0.25,24,2.75,,2.07,,,,28.82,
PAN-02,20,PAN-02,2013,11,NA,9,0.25,28.71,5.63,0.08,0.23,,,0.08,34.73,
PAN-02,20,PAN-02,2013,11,NA,10,0.25,15.39,2.48,,11.76,,,,29.63,
PAN-02,20,PAN-02,2013,11,NA,11,0.25,10.9,18.51,0.86,1.38,,,0.21,31.86,
PAN-02,20,PAN-02,2013,11,NA,12,0.25,13.89,0.64,0.24,,,,,14.77,
PAN-02,20,PAN-02,2013,11,NA,13,0.25,20.46,4.47,0.07,,,,,25,
PAN-02,20,PAN-02,2013,11,NA,14,0.25,21.92,0.59,0.29,0.6,,,,23.4,
PAN-02,20,PAN-02,2013,11,NA,15,0.25,11.67,24.1,,2.78,6.97,0.08,,45.6,
PAN-02,20,PAN-02,2013,11,NA,16,0.25,14.96,0.46,2.13,0.12,,,,17.67,
PAN-02,20,PAN-02,2013,11,NA,17,0.25,25.72,1.59,,3.96,,0.01,0.91,32.19,
PAN-02,20,PAN-02,2013,11,NA,18,0.25,21.63,1.14,0.16,0.12,,,,23.05,
PAN-02,20,PAN-02,2013,11,NA,19,0.25,14.13,12.03,0.94,1.56,,,,28.66,
PAN-02,20,PAN-02,2013,11,NA,20,0.25,12.94,6.56,1.59,0.03,,,,21.12,
PAN-02,20,PAN-02,2013,11,NA,21,0.25,7.88,6.23,0.18,0.12,,,,14.41,
PAN-02,20,PAN-02,2013,11,NA,22,0.25,10.77,15.44,,0.16,,,0.09,26.46,
PAN-02,20,PAN-02,2013,11,NA,23,0.25,37.48,6.52,,0.01,,,0.12,44.13,
PAN-02,20,PAN-02,2013,11,NA,24,0.25,20.29,0.29,0.4,3.67,,,,24.65,
PAN-02,20,PAN-02,2013,11,NA,25,0.25,12.33,5.64,0.89,0.1,0.09,,,19.05,
PAN-02,12,PAN-02,2013,12,NA,1,0.25,7,1.28,,9.61,,,,17.89,
PAN-02,12,PAN-02,2013,12,NA,2,0.25,5.37,0.29,0.04,,,,,5.7,
PAN-02,12,PAN-02,2013,12,NA,3,0.25,3.87,10.58,0.04,,,0.08,,14.57,
PAN-02,12,PAN-02,2013,12,NA,4,0.25,5.78,0.08,,,,0.03,,5.89,
PAN-02,12,PAN-02,2013,12,NA,5,0.25,6.97,0,0.03,,,,,7,
PAN-02,12,PAN-02,2013,12,NA,6,0.25,3.44,0.35,1.24,0.31,,0.04,,5.38,
PAN-02,12,PAN-02,2013,12,NA,7,0.25,9.46,2.28,,0.1,,,,11.84,
PAN-02,12,PAN-02,2013,12,NA,8,0.25,12.83,0.24,0.09,3.03,,,,16.19,
PAN-02,12,PAN-02,2013,12,NA,9,0.25,14.35,1.7,,0.33,,0.02,,16.4,
PAN-02,12,PAN-02,2013,12,NA,10,0.25,4.4,0.19,,10.95,,,,15.54,
PAN-02,12,PAN-02,2013,12,NA,11,0.25,10.01,0,,3.72,,0.25,,13.98,
PAN-02,12,PAN-02,2013,12,NA,12,0.25,6.06,0,,,,,,6.06,
PAN-02,12,PAN-02,2013,12,NA,13,0.25,9.87,11.91,,,,,,21.78,
PAN-02,12,PAN-02,2013,12,NA,14,0.25,8.82,0,0.78,0.42,,,,10.02,
PAN-02,12,PAN-02,2013,12,NA,15,0.25,2.85,0,,1.62,0.17,,,4.64,
PAN-02,12,PAN-02,2013,12,NA,16,0.25,7.93,5.63,,0.4,,,,13.96,
PAN-02,12,PAN-02,2013,12,NA,17,0.25,10.17,1.05,,1.05,,0.01,,12.28,
PAN-02,12,PAN-02,2013,12,NA,18,0.25,8.48,0,0.32,,,,,8.8,
PAN-02,12,PAN-02,2013,12,NA,19,0.25,3.38,0.83,,0.39,,0.05,,4.65,
PAN-02,12,PAN-02,2013,12,NA,20,0.25,6.25,0,0.02,,,,,6.27,
PAN-02,12,PAN-02,2013,12,NA,21,0.25,8.81,0.71,,,,,,9.52,
PAN-02,12,PAN-02,2013,12,NA,22,0.25,9.14,0.77,0.01,0.19,,0.01,0.08,10.2,
PAN-02,12,PAN-02,2013,12,NA,23,0.25,6.63,4.61,,,,,,11.24,
PAN-02,12,PAN-02,2013,12,NA,24,0.25,16.59,0,6.22,0.25,,,,23.06,
PAN-02,12,PAN-02,2013,12,NA,25,0.25,3.56,1.3,0.08,,,,0.07,5.01,
PAN-02,11,PAN-02,2014,1,NA,1,0.25,13.65,5.11,0.05,9.6,,,,28.41,
PAN-02,11,PAN-02,2014,1,NA,2,0.25,11.41,0.4,0.02,1.41,,,,13.24,
PAN-02,11,PAN-02,2014,1,NA,3,0.25,7.41,8.27,0.39,,,0.06,,16.13,
PAN-02,11,PAN-02,2014,1,NA,4,0.25,15.28,10.27,1.49,,,,,27.04,
PAN-02,11,PAN-02,2014,1,NA,5,0.25,3.8,0,0.05,,,,,3.85,
PAN-02,11,PAN-02,2014,1,NA,6,0.25,6.37,4.45,0.5,0.6,,,,11.92,
PAN-02,11,PAN-02,2014,1,NA,7,0.25,9.3,0.52,,,,,,9.82,
PAN-02,11,PAN-02,2014,1,NA,8,0.25,20.62,1.76,0.51,6.35,,0.01,0.03,29.28,
PAN-02,11,PAN-02,2014,1,NA,9,0.25,5.78,43.55,,,,,0.52,49.85,
PAN-02,11,PAN-02,2014,1,NA,10,0.25,6.21,0.95,,3.45,,,0.03,10.64,
PAN-02,11,PAN-02,2014,1,NA,11,0.25,20.37,0.73,31.98,2.55,,0.15,,55.78,
PAN-02,11,PAN-02,2014,1,NA,12,0.25,29.39,3.01,,,,,,32.4,
PAN-02,11,PAN-02,2014,1,NA,13,0.25,11.87,16.25,,0.17,,0.01,,28.3,
PAN-02,11,PAN-02,2014,1,NA,14,0.25,19.34,10.63,1,0.25,,,,31.22,
PAN-02,11,PAN-02,2014,1,NA,15,0.25,17.44,2.56,0.8,0.11,,0.18,,21.09,
PAN-02,11,PAN-02,2014,1,NA,16,0.25,9.09,7.78,,0.29,,0.04,,17.2,
PAN-02,11,PAN-02,2014,1,NA,17,0.25,13.04,1.73,,3.28,,,0.18,18.23,
PAN-02,11,PAN-02,2014,1,NA,18,0.25,4.99,0.94,0.24,2.63,0.04,,0.11,8.95,
PAN-02,11,PAN-02,2014,1,NA,19,0.25,8.68,0,0.26,0.13,,0.01,,9.08,
PAN-02,11,PAN-02,2014,1,NA,20,0.25,14.87,11.62,,1.13,,,0.01,27.63,
PAN-02,11,PAN-02,2014,1,NA,21,0.25,6.75,6.91,,0.89,,,0.02,14.57,
PAN-02,11,PAN-02,2014,1,NA,22,0.25,17.02,5.73,,0.07,,,0.03,22.85,
PAN-02,11,PAN-02,2014,1,NA,23,0.25,10.28,5.18,,0.12,,,,15.58,
PAN-02,11,PAN-02,2014,1,NA,24,0.25,9.06,0.08,7.72,0.14,,,,17,
PAN-02,11,PAN-02,2014,1,NA,25,0.25,5.8,0.19,0.32,,,0.02,0.01,6.34,
PAN-02,10,PAN-02,2014,2,NA,1,0.25,6.18,0.22,,0.02,,,,6.42,
PAN-02,10,PAN-02,2014,2,NA,2,0.25,8.13,3,,2.02,,,,13.15,
PAN-02,10,PAN-02,2014,2,NA,3,0.25,5.22,0.1,,,,,,5.32,
PAN-02,10,PAN-02,2014,2,NA,4,0.25,10.84,0.68,4.09,0.01,,,,15.62,
PAN-02,10,PAN-02,2014,2,NA,5,0.25,4.22,0,0.27,,,0.01,,4.5,
PAN-02,10,PAN-02,2014,2,NA,6,0.25,5.27,0,,1.43,,,,6.7,
PAN-02,10,PAN-02,2014,2,NA,7,0.25,5.31,0,0.03,,,,,5.34,
PAN-02,10,PAN-02,2014,2,NA,8,0.25,8.97,0.1,,2.49,0.06,,,11.62,
PAN-02,10,PAN-02,2014,2,NA,9,0.25,13.51,0.06,,,,,,13.57,
PAN-02,10,PAN-02,2014,2,NA,10,0.25,17.39,0,,,,,,17.39,
PAN-02,10,PAN-02,2014,2,NA,11,0.25,10.15,1.06,13.61,1.02,,0.22,,26.06,
PAN-02,10,PAN-02,2014,2,NA,12,0.25,4.96,0.42,,0.01,,,,5.39,
PAN-02,10,PAN-02,2014,2,NA,13,0.25,7.74,0.97,,0.23,,,,8.94,
PAN-02,10,PAN-02,2014,2,NA,14,0.25,10.71,0,,2.35,,,,13.06,
PAN-02,10,PAN-02,2014,2,NA,15,0.25,6.98,0,0.11,6.14,0.34,,0.04,13.61,
PAN-02,10,PAN-02,2014,2,NA,16,0.25,4.73,0.39,,0.73,,0.03,,5.88,
PAN-02,10,PAN-02,2014,2,NA,17,0.25,8.94,0.1,,3.05,,0.03,0.02,12.14,
PAN-02,10,PAN-02,2014,2,NA,18,0.25,15.67,0.2,0.43,,,,0.12,16.42,
PAN-02,10,PAN-02,2014,2,NA,19,0.25,10.54,0.04,,1.28,,0.08,0.27,12.21,
PAN-02,10,PAN-02,2014,2,NA,20,0.25,8.39,0.59,0.01,,,0.01,0.11,9.11,
PAN-02,10,PAN-02,2014,2,NA,21,0.25,5.46,0.19,,1.44,,,,7.09,
PAN-02,10,PAN-02,2014,2,NA,22,0.25,13.7,1.17,0.02,0.04,,,,14.93,
PAN-02,10,PAN-02,2014,2,NA,23,0.25,5.24,0.6,,0.02,,,,5.86,
PAN-02,10,PAN-02,2014,2,NA,24,0.25,5.87,0.16,,39.87,,,,45.9,
PAN-02,10,PAN-02,2014,2,NA,25,0.25,6.64,0.03,,0.02,0.02,,,6.71,
PAN-02,24,PAN-02,2014,3,NA,1,0.25,13.23,5.99,,0.83,,,,,
PAN-02,24,PAN-02,2014,3,NA,2,0.25,17.62,0.1,,2.49,,,,,
PAN-02,24,PAN-02,2014,3,NA,3,0.25,12.45,1.08,,0.04,,,,,
PAN-02,24,PAN-02,2014,3,NA,4,0.25,11.74,12.33,2.54,,,0.05,,,
PAN-02,24,PAN-02,2014,3,NA,5,0.25,12.62,0.26,,0.73,,0.06,,,
PAN-02,24,PAN-02,2014,3,NA,6,0.25,13.98,3.68,,0.43,,,,,
PAN-02,24,PAN-02,2014,3,NA,7,0.25,12.23,12.51,,0.03,,,,,
PAN-02,24,PAN-02,2014,3,NA,8,0.25,17.19,1.93,9.91,0.85,,,,,
PAN-02,24,PAN-02,2014,3,NA,9,0.25,8.98,1.19,,0.54,,,,,
PAN-02,24,PAN-02,2014,3,NA,10,0.25,10.1,1.88,,0.01,,,,,
PAN-02,24,PAN-02,2014,3,NA,11,0.25,18.22,0.95,,0.88,,0.01,,,
PAN-02,24,PAN-02,2014,3,NA,12,0.25,14.88,1.71,,1.16,,,,,
PAN-02,24,PAN-02,2014,3,NA,13,0.25,18.07,3.75,,1.96,,,,,
PAN-02,24,PAN-02,2014,3,NA,14,0.25,13.3,0.16,,0.68,,,,,
PAN-02,24,PAN-02,2014,3,NA,15,0.25,6.56,0.6,,,0.12,,,,
PAN-02,24,PAN-02,2014,3,NA,16,0.25,17.86,1.65,0.27,0.63,0.48,0.1,,,
PAN-02,24,PAN-02,2014,3,NA,17,0.25,21.28,2.93,,1.32,,0.05,,,
PAN-02,24,PAN-02,2014,3,NA,18,0.25,34.61,1.24,,1.98,,,,,
PAN-02,24,PAN-02,2014,3,NA,19,0.25,8.36,1.26,2.03,0.76,,0.02,,,
PAN-02,24,PAN-02,2014,3,NA,20,0.25,19.22,0.81,,,,,,,
PAN-02,24,PAN-02,2014,3,NA,21,0.25,7.14,0.82,,1.35,,0.01,,,
PAN-02,24,PAN-02,2014,3,NA,22,0.25,24.82,9.25,,0.15,,,,,
PAN-02,24,PAN-02,2014,3,NA,23,0.25,15.71,16.57,,0.38,,,,,
PAN-02,24,PAN-02,2014,3,NA,24,0.25,17.39,5.35,,26.83,,,,,
PAN-02,24,PAN-02,2014,3,NA,25,0.25,9.86,1.67,,0.44,,,,,
