plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,Total weigth,Notes
PAN-03,2013,6,18,8,0.25,2.92,0.07,0.06,0.06,,0.02,,3.13,
PAN-03,2013,6,18,9,0.25,1.56,0,0.04,,,,,1.6,
PAN-03,2013,6,18,10,0.25,23.55,0.14,0.4,,,0.16,,24.25,
PAN-03,2013,6,18,11,0.25,4.04,0.32,0.08,,,0.02,,4.46,
PAN-03,2013,6,18,12,0.25,6.03,0.16,0.04,0.62,,,,6.85,
PAN-03,2013,6,18,13,0.25,5.75,0,,,,,,5.75,
PAN-03,2013,6,18,14,0.25,8.52,0.61,,0.01,,,,9.14,
PAN-03,2013,6,18,15,0.25,7.92,0.92,0.01,,,0.06,,8.91,
PAN-03,2013,6,18,16,0.25,4.06,0,0.04,,,,,4.1,
PAN-03,2013,6,18,17,0.25,4.53,0.81,,,,,,5.34,
PAN-03,2013,6,18,18,0.25,7.52,0.19,0.12,,,0.04,,7.87,
PAN-03,2013,6,18,19,0.25,5.46,2.39,,,,,,7.85,
PAN-03,2013,6,18,20,0.25,6.04,2.51,1.79,0.47,,0.01,0.01,10.83,
PAN-03,2013,6,18,21,0.25,5.17,0.12,,0.01,,,,5.3,
PAN-03,2013,6,18,22,0.25,5.44,1.18,0.26,0.39,,,,7.27,
PAN-03,2013,6,18,23,0.25,4.91,0.23,,0.16,,,,5.3,
PAN-03,2013,6,18,24,0.25,2.94,0,,0.06,0.85,,,3.85,
PAN-03,2013,6,18,25,0.25,10.32,0,1.57,,,,,11.89,
PAN-03,2013,7,24,1,0.25,10.09,0,,,0.02,,,10.11,
PAN-03,2013,7,24,2,0.25,11.82,0,5.55,,,,,17.37,
PAN-03,2013,7,24,3,0.25,4.02,0,,,,,,4.02,
PAN-03,2013,7,24,4,0.25,14.71,0,,,,0.03,,14.74,
PAN-03,2013,7,24,5,0.25,17.43,10.32,,0.26,,,,28.01,
PAN-03,2013,7,24,6,0.25,5.61,0,,,,,,5.61,
PAN-03,2013,7,24,7,0.25,11.4,2.27,0.1,,,,,13.77,
PAN-03,2013,7,24,8,0.25,5.33,0.2,0.14,,,0.03,,5.7,
PAN-03,2013,7,24,9,0.25,5.49,0,0.04,,,,,5.53,
PAN-03,2013,7,24,10,0.25,11.92,0,,0.05,,0.03,,12,
PAN-03,2013,7,24,11,0.25,11,0.18,,,,0.05,,11.23,
PAN-03,2013,7,24,12,0.25,9.2,0,,,,,,9.2,
PAN-03,2013,7,24,13,0.25,20.52,0,,,,,,20.52,
PAN-03,2013,7,24,14,0.25,25.27,0,,,,,,25.27,
PAN-03,2013,7,24,15,0.25,16.61,0.71,0.99,,,0.04,,18.35,
PAN-03,2013,7,24,16,0.25,7.23,1.41,,,,,,8.64,
PAN-03,2013,7,24,17,0.25,8.41,0,,0.71,,,,9.12,
PAN-03,2013,7,24,18,0.25,9.61,0.57,0.15,,,,,10.33,
PAN-03,2013,7,24,19,0.25,8.99,0.97,,,,,,9.96,
PAN-03,2013,7,24,20,0.25,12.33,8.74,3.17,3.52,,,,27.76,
PAN-03,2013,7,24,21,0.25,7.36,0,,1.63,,,,8.99,
PAN-03,2013,7,24,22,0.25,8.25,0,0.14,1.34,,0.15,,9.88,
PAN-03,2013,7,24,23,0.25,14.49,6.14,0.8,,,,,21.43,
PAN-03,2013,7,24,24,0.25,8.26,0.14,,0.25,2,,,10.65,
PAN-03,2013,7,24,25,0.25,12.96,0.22,0.06,,,,,13.24,
PAN-03,2013,8,24,1,0.25,16.85,3.05,,,,0.01,,19.91,
PAN-03,2013,8,24,2,0.25,14.57,2.47,2.21,1.06,,0.08,0.06,20.45,
PAN-03,2013,8,24,3,0.25,21.59,1.04,,,0.04,0.04,0.06,22.77,
PAN-03,2013,8,24,4,0.25,24.64,0,0.2,,,,,24.84,
PAN-03,2013,8,24,5,0.25,18.42,0,,,,0.01,,18.43,
PAN-03,2013,8,24,6,0.25,36.27,1.97,,0.78,,,,39.02,
PAN-03,2013,8,24,7,0.25,22.56,2.7,,,0.06,,,25.32,
PAN-03,2013,8,24,8,0.25,11.02,0.41,,0.65,,,,12.08,
PAN-03,2013,8,24,9,0.25,15.5,0.22,0.15,,0.26,,,16.13,
PAN-03,2013,8,24,10,0.25,15.39,0.17,,0.03,,,,15.59,
PAN-03,2013,8,24,11,0.25,15.67,5.52,0.08,,0.12,0.01,0.02,21.42,
PAN-03,2013,8,24,12,0.25,12.74,4.62,0.2,,,0.03,,17.59,
PAN-03,2013,8,24,13,0.25,20.13,0,,,,,,20.13,
PAN-03,2013,8,24,14,0.25,19.89,1.1,,,,0.14,,21.13,
PAN-03,2013,8,24,15,0.25,17.02,6.24,0.05,,,0.07,0.16,23.54,
PAN-03,2013,8,24,16,0.25,12.58,0.6,,,,0.06,,13.24,
PAN-03,2013,8,24,17,0.25,24.7,18.07,,,,,,42.77,
PAN-03,2013,8,24,18,0.25,23.15,1.11,0.06,,,,,24.32,
PAN-03,2013,8,24,19,0.25,17.39,5.16,,,,0.03,,22.58,
PAN-03,2013,8,24,20,0.25,31.26,1.25,0.82,0.44,,0.02,,33.79,
PAN-03,2013,8,24,21,0.25,14.07,0.56,0.07,,,,,14.7,
PAN-03,2013,8,24,22,0.25,14.71,6.41,,0.47,,,0.03,21.62,
PAN-03,2013,8,24,23,0.25,20.18,6.89,0.77,0.29,,,,28.13,
PAN-03,2013,8,24,24,0.25,46.64,9.09,,0.49,0.23,0.07,,56.52,
PAN-03,2013,8,24,25,0.25,16.86,8.59,,0.04,,0.02,,25.51,
PAN-03,2013,9,17,1,0.25,23.81,0,,,,0.02,,23.83,
PAN-03,2013,9,17,2,0.25,18.07,0,0.12,0.28,,,,18.47,
PAN-03,2013,9,17,3,0.25,13.36,0.16,,,,0.04,,13.56,
PAN-03,2013,9,17,4,0.25,25.63,0.22,,,,,,25.85,
PAN-03,2013,9,17,5,0.25,40.07,4.1,0.03,0.07,,0.11,0.47,44.85,
PAN-03,2013,9,17,6,0.25,10.25,0.52,,,,,,10.77,
PAN-03,2013,9,17,7,0.25,19.9,3.57,1.09,,,,,24.56,
PAN-03,2013,9,17,8,0.25,9.98,0.71,,0.83,,,,11.52,
PAN-03,2013,9,17,9,0.25,22.16,0.34,0.09,0.06,0.04,,,22.69,
PAN-03,2013,9,17,10,0.25,29.55,5.05,,0.07,,,,34.67,
PAN-03,2013,9,17,11,0.25,17.28,0.93,0.09,0.04,,0.03,0.11,18.48,
PAN-03,2013,9,17,12,0.25,11.73,2.3,0.34,0.05,,,,14.42,
PAN-03,2013,9,17,13,0.25,7.47,0.09,,,,,,7.56,
PAN-03,2013,9,17,14,0.25,13.85,0.58,0.07,,,0.01,,14.51,
PAN-03,2013,9,17,15,0.25,10.51,4.24,0.22,0.03,,0.07,,15.07,
PAN-03,2013,9,17,16,0.25,12.26,0.9,0.03,0.06,,0.08,0.02,13.35,
PAN-03,2013,9,17,17,0.25,20.82,1.47,,1.19,,,,23.48,
PAN-03,2013,9,17,18,0.25,16.57,1.12,,0.06,,0.03,,17.78,
PAN-03,2013,9,17,19,0.25,17.69,0.62,0.3,,,0.01,,18.62,
PAN-03,2013,9,17,20,0.25,14.91,0.4,0.2,1.32,,,,16.83,
PAN-03,2013,9,17,21,0.25,15.81,0.46,0.03,0.02,,,,16.32,
PAN-03,2013,9,17,22,0.25,9.39,0.59,0.36,3.56,,,,13.9,
PAN-03,2013,9,17,23,0.25,17.27,4.76,,0.01,,,0.13,22.17,
PAN-03,2013,9,17,24,0.25,26.94,2.27,,1.06,,0.01,0.14,30.42,
PAN-03,2013,9,17,25,0.25,16.95,0.22,,0.03,,0.02,0.15,17.37,
PAN-03,2013,10,21,1,0.25,63.21,2.22,0.09,,,,0.43,65.95,
PAN-03,2013,10,21,2,0.25,11.05,1.9,0.12,0.74,,0.07,,13.88,
PAN-03,2013,10,21,3,0.25,5.79,0,,,0.06,,,5.85,
PAN-03,2013,10,21,4,0.25,28.35,7.63,,0.01,,0.01,0.17,36.17,
PAN-03,2013,10,21,5,0.25,22.74,1.5,0.19,0.01,,0.06,0.16,24.66,
PAN-03,2013,10,21,6,0.25,13.48,2.34,0.32,0.02,,1.68,0.4,18.24,
PAN-03,2013,10,21,7,0.25,13.1,31.14,10.79,,,,0.75,55.78,
PAN-03,2013,10,21,8,0.25,15.16,0.79,0.4,,,0.04,,16.39,
PAN-03,2013,10,21,9,0.25,26.15,0.53,0.13,0.28,,,,27.09,
PAN-03,2013,10,21,10,0.25,10.61,0.27,4.82,0.2,,,,15.9,
PAN-03,2013,10,21,11,0.25,12.78,0.72,0.01,,,,,13.51,
PAN-03,2013,10,21,12,0.25,12.14,6.93,0.06,,,0.02,0.04,19.19,
PAN-03,2013,10,21,13,0.25,5.12,16.78,0.02,0.02,,0.17,,22.11,
PAN-03,2013,10,21,14,0.25,7.27,1.04,2.14,0.14,,,,10.59,
PAN-03,2013,10,21,15,0.25,5.11,1.34,0.3,0.22,0.24,0.16,,7.37,
PAN-03,2013,10,21,16,0.25,13.5,0.21,0.05,,,,,13.76,
PAN-03,2013,10,21,17,0.25,16.52,0,0.23,,,,,16.75,
PAN-03,2013,10,21,18,0.25,14.65,2.26,0.05,,,,,16.96,
PAN-03,2013,10,21,19,0.25,9.29,0.1,6.35,0.08,,,,15.82,
PAN-03,2013,10,21,20,0.25,11.4,14.17,,,,0.02,,25.59,
PAN-03,2013,10,21,21,0.25,14.92,1.75,0.04,0.19,,0.03,,16.93,
PAN-03,2013,10,21,22,0.25,9.62,6.03,0.03,8.52,,,,24.2,
PAN-03,2013,10,21,23,0.25,16.83,5.13,0.1,0.06,,0.01,,22.13,
PAN-03,2013,10,21,24,0.25,16.74,3.51,,,0.16,0.01,,20.42,
PAN-03,2013,10,21,25,0.25,24.45,0.75,,,,0.09,,25.29,
PAN-03,2013,11,19,1,0.25,20.55,7.32,,,,,,27.87,
PAN-03,2013,11,19,2,0.25,30.28,1.21,3.24,5.76,0.02,0.04,,40.55,
PAN-03,2013,11,19,3,0.25,6.62,4.51,0.04,,,,,11.17,
PAN-03,2013,11,19,4,0.25,18.79,8.83,,0.01,,0.06,,27.69,
PAN-03,2013,11,19,5,0.25,19.55,1.99,,0.43,,,0.65,22.62,
PAN-03,2013,11,19,6,0.25,3.18,0.53,0.03,,0.02,,,3.76,
PAN-03,2013,11,19,7,0.25,14.57,2.37,2.61,,,,,19.55,
PAN-03,2013,11,19,8,0.25,12.09,0.66,0.08,0.02,,0.01,,12.86,
PAN-03,2013,11,19,9,0.25,18.49,3.15,,0.15,0.04,0.06,,21.89,
PAN-03,2013,11,19,10,0.25,10.52,2.3,22.95,,,0.24,0.21,36.22,
PAN-03,2013,11,19,11,0.25,11.37,4.15,0.1,,0.08,0.05,,15.75,
PAN-03,2013,11,19,12,0.25,18.91,8.24,0.12,,,0.13,0.28,27.68,
PAN-03,2013,11,19,13,0.25,17.51,0.13,0.1,0.3,,,,18.04,
PAN-03,2013,11,19,14,0.25,18.23,0.2,1.18,0.78,,,0.97,21.36,
PAN-03,2013,11,19,15,0.25,9.77,18.11,0.01,1.28,,0.28,,29.45,
PAN-03,2013,11,19,16,0.25,20.81,0.06,0.01,,,0.04,,20.92,
PAN-03,2013,11,19,17,0.25,8.76,0.51,0.03,0.21,,0.1,,9.61,
PAN-03,2013,11,19,18,0.25,20.5,1.84,0.12,0.2,,0.09,,22.75,
PAN-03,2013,11,19,19,0.25,20.08,1.23,2.08,,,,,23.39,
PAN-03,2013,11,19,20,0.25,15.18,4.79,2.19,3.37,,0.06,3.81,29.4,
PAN-03,2013,11,19,21,0.25,19.63,3.7,0.01,0.71,,,,24.05,
PAN-03,2013,11,19,22,0.25,6.93,12.84,0.11,,,0.07,,19.95,
PAN-03,2013,11,19,23,0.25,11.71,10.19,0.01,0.2,,,,22.11,
PAN-03,2013,11,19,24,0.25,9.88,2.22,,,0.55,,,12.65,
PAN-03,2013,11,19,25,0.25,29.16,5.69,0.15,0.25,,,,35.25,
PAN-03,2013,12,11,1,0.25,6.35,54.91,,,,0.05,,61.31,
PAN-03,2013,12,11,2,0.25,9.81,0,0.03,1.89,0.05,0.06,,11.84,
PAN-03,2013,12,11,3,0.25,5.23,0.09,,,0.68,0.02,,6.02,
PAN-03,2013,12,11,4,0.25,3.57,0,,,,,,3.57,
PAN-03,2013,12,11,5,0.25,10,0.26,0.13,,,,,10.39,
PAN-03,2013,12,11,6,0.25,9.8,0,,,0.03,,,9.83,
PAN-03,2013,12,11,7,0.25,7.41,0,,0.12,,,,7.53,
PAN-03,2013,12,11,8,0.25,6.68,1,,0.04,,,0.29,8.01,
PAN-03,2013,12,11,9,0.25,4.99,0,,0.02,1.25,,,6.26,
PAN-03,2013,12,11,10,0.25,6.35,0,,,0.06,,,6.41,
PAN-03,2013,12,11,11,0.25,7.44,0.65,0.1,,0.07,,0.19,8.45,
PAN-03,2013,12,11,12,0.25,5.55,0.54,0.3,,,,,6.39,
PAN-03,2013,12,11,13,0.25,5.71,0,,,,0.04,,5.75,
PAN-03,2013,12,11,14,0.25,9.47,0,,0.37,,,,9.84,
PAN-03,2013,12,11,15,0.25,5.55,6.88,,,0.07,0.41,,12.91,
PAN-03,2013,12,11,16,0.25,2.91,0,11.78,,,0.09,,14.78,
PAN-03,2013,12,11,17,0.25,4.49,0.74,0.08,,,,,5.31,
PAN-03,2013,12,11,18,0.25,5.75,0,3.49,0.4,0.02,,,9.66,
PAN-03,2013,12,11,19,0.25,8.2,0.39,0.03,,,0.04,,8.66,
PAN-03,2013,12,11,20,0.25,12.47,0.84,,,,0.06,,13.37,
PAN-03,2013,12,11,21,0.25,4.73,0.67,,0.24,,,,5.64,
PAN-03,2013,12,11,22,0.25,4.93,0,,,,0.32,,5.25,
PAN-03,2013,12,11,23,0.25,6.75,0,0.14,0.22,,,,7.11,
PAN-03,2013,12,11,24,0.25,8.51,0.39,,0.06,,0.15,,9.11,
PAN-03,2013,12,11,25,0.25,5.64,0,,,,0.02,,5.66,
PAN-03,2014,1,12,1,0.25,11.38,3.69,,,,,,15.07,
PAN-03,2014,1,12,2,0.25,13.41,0.45,,1.02,,0.06,,14.94,
PAN-03,2014,1,12,3,0.25,7.96,1.3,,,,0.03,0.04,9.33,
PAN-03,2014,1,12,4,0.25,7.54,28.48,0.02,,,,,36.04,
PAN-03,2014,1,12,5,0.25,16.2,13.91,0.23,0.19,,0.28,0.15,30.96,
PAN-03,2014,1,12,6,0.25,3.08,0,0.03,,,,,3.11,
PAN-03,2014,1,12,7,0.25,12.79,5.38,,,,0.06,,18.23,
PAN-03,2014,1,12,8,0.25,7.49,1.19,0.1,,,0.04,,8.82,
PAN-03,2014,1,12,9,0.25,5.91,10.34,0.09,0.06,0.05,,,16.45,
PAN-03,2014,1,12,10,0.25,6.41,9.72,0.92,,,0.07,,17.12,
PAN-03,2014,1,12,11,0.25,10.93,3.22,1.01,,0.34,0.02,0.02,15.54,
PAN-03,2014,1,12,12,0.25,8.78,11.2,0.32,0.21,,,,20.51,
PAN-03,2014,1,12,13,0.25,7.64,0.22,0.02,,,0.03,0.03,7.94,
PAN-03,2014,1,12,14,0.25,7.32,32.05,0.43,0.66,,,0.26,40.72,
PAN-03,2014,1,12,15,0.25,6.11,1.09,0.05,,,0.04,,7.29,
PAN-03,2014,1,12,16,0.25,5.34,0.61,1.37,,,,,7.32,
PAN-03,2014,1,12,17,0.25,4.9,2.33,2.62,,,0.02,,9.87,
PAN-03,2014,1,12,18,0.25,10.76,3.64,0.29,0.18,,,,14.87,
PAN-03,2014,1,12,19,0.25,8.25,0.03,0.02,,,,0.04,8.34,
PAN-03,2014,1,12,20,0.25,11.16,6.12,0.23,0.41,,0.03,,17.95,
PAN-03,2014,1,12,21,0.25,10.35,0.31,1.59,0.35,,,,12.6,
PAN-03,2014,1,12,22,0.25,9.55,24.84,0.05,,,,,34.44,
PAN-03,2014,1,12,23,0.25,13.78,0,,0.76,,,0.04,14.58,
PAN-03,2014,1,12,24,0.25,4.2,0.72,4.45,,0.28,,,9.65,
PAN-03,2014,1,12,25,0.25,10.69,7.37,0.18,0.23,,,,18.47,
PAN-03,2014,2,11,1,0.25,3.27,0,,,,,,3.27,
PAN-03,2014,2,11,2,0.25,6.45,0.06,,0.04,,0.09,,6.64,
PAN-03,2014,2,11,3,0.25,7.44,0.2,,0.24,,,,7.88,
PAN-03,2014,2,11,4,0.25,10.77,0.55,,,,0.08,0.02,11.42,
PAN-03,2014,2,11,5,0.25,10.29,0.44,0.92,0.2,,,,11.85,
PAN-03,2014,2,11,6,0.25,1.7,0,,,,0.01,,1.71,
PAN-03,2014,2,11,7,0.25,10.21,0,,0.64,0.03,0.03,,10.91,
PAN-03,2014,2,11,8,0.25,5.49,0.35,,0.08,,0.05,0.05,6.02,
PAN-03,2014,2,11,9,0.25,5.94,0.14,,0.36,0.06,,,6.5,
PAN-03,2014,2,11,10,0.25,4.11,0,0.02,2.03,,,0.02,6.18,
PAN-03,2014,2,11,11,0.25,7.19,0.05,0.5,0.18,0.07,,,7.99,
PAN-03,2014,2,11,12,0.25,2.89,0.13,0.3,,,,0.01,3.33,
PAN-03,2014,2,11,13,0.25,5.65,0.26,,,,0.02,,5.93,
PAN-03,2014,2,11,14,0.25,9.91,0,0.3,1.12,,,,11.33,
PAN-03,2014,2,11,15,0.25,7.14,0.03,0.06,,,0.04,0.04,7.31,
PAN-03,2014,2,11,16,0.25,3.7,0,0.12,,,,,3.82,
PAN-03,2014,2,11,17,0.25,3.1,0.06,0.13,0.14,,,,3.43,
PAN-03,2014,2,11,18,0.25,12.32,0,0.23,,,0.03,0.01,12.59,
PAN-03,2014,2,11,19,0.25,9.32,0.24,0.02,,,,,9.58,
PAN-03,2014,2,11,20,0.25,12.09,0.12,,2.02,,0.04,0.06,14.33,
PAN-03,2014,2,11,21,0.25,4.18,0.21,0.05,,,,,4.44,
PAN-03,2014,2,11,22,0.25,2.96,0.09,,0.02,,,,3.07,
PAN-03,2014,2,11,23,0.25,8.99,0.21,,2.46,,,0.01,11.67,
PAN-03,2014,2,11,24,0.25,3.14,0,0.02,,0.02,0.01,,3.19,
PAN-03,2014,2,11,25,0.25,8.83,0.13,0.24,0.18,,,,9.38,
PAN-03,2014,3,20,1,0.25,13.85,0.08,,,,0.01,,,
PAN-03,2014,3,20,2,0.25,14.79,1.33,,0.04,0.03,0.06,,,
PAN-03,2014,3,20,3,0.25,4.47,0,,0.04,,0.11,,,
PAN-03,2014,3,20,4,0.25,16.59,0,,0.01,,,,,
PAN-03,2014,3,20,5,0.25,19.52,4.09,0.82,0.01,,0.12,,,
PAN-03,2014,3,20,6,0.25,2.78,0,,,,,,,
PAN-03,2014,3,20,7,0.25,16.41,0,,,,,,,
PAN-03,2014,3,20,8,0.25,5.68,6.06,,0.01,,0.26,,,
PAN-03,2014,3,20,9,0.25,9.56,0.41,,,,,,,
PAN-03,2014,3,20,10,0.25,7.45,0,,0.91,,0.01,0.03,,
PAN-03,2014,3,20,11,0.25,10.76,3.06,,3.73,0.19,0.28,0.29,,
PAN-03,2014,3,20,12,0.25,6.71,0.74,0.37,,,,,,
PAN-03,2014,3,20,13,0.25,10.96,0.36,0.01,,,0.01,0.05,,
PAN-03,2014,3,20,14,0.25,14.16,1.32,0.01,,,,0.06,,
PAN-03,2014,3,20,15,0.25,10.53,0.37,0.13,,,0.02,0.08,,
PAN-03,2014,3,20,16,0.25,6.63,3.84,,0.04,,,,,
PAN-03,2014,3,20,17,0.25,8.94,0.31,0.19,,,,,,
PAN-03,2014,3,20,18,0.25,35.58,2.56,0.76,0.15,,0.1,0.1,,
PAN-03,2014,3,20,19,0.25,9.47,18.11,,0.04,,,,,
PAN-03,2014,3,20,20,0.25,15.24,0.32,,0.55,,0.04,,,
PAN-03,2014,3,20,21,0.25,20.52,12.57,0.17,,,0.04,,,
PAN-03,2014,3,20,22,0.25,8.95,3.89,,0.28,,,,,
PAN-03,2014,3,20,23,0.25,13.26,9.91,,0.17,,0.01,,,
PAN-03,2014,3,20,24,0.25,4.43,0.12,,,0.24,,,,
PAN-03,2014,3,20,25,0.25,34.12,0.48,0.06,,,,0.3,,
PAN-03,2014,5,3,1,0.25,6.43,0.53,,,0.01,,,,April month
PAN-03,2014,5,3,2,0.25,11.32,0.26,,,,,,,April month
PAN-03,2014,5,3,3,0.25,9.58,1.14,,,0.07,,,,April month
PAN-03,2014,5,3,4,0.25,13.74,6.74,,,,0.09,,,April month
PAN-03,2014,5,3,5,0.25,20.55,13.01,0.77,0.75,,0.17,,,April month
PAN-03,2014,5,3,6,0.25,15.04,0,0.43,,0.02,0.31,,,April month
PAN-03,2014,5,3,7,0.25,20.52,3.32,,0.03,,,,,April month
PAN-03,2014,5,3,8,0.25,8.77,0.81,0.07,2.02,,,,,April month
PAN-03,2014,5,3,9,0.25,9.59,1.91,,0.22,0.01,,,,April month
PAN-03,2014,5,3,10,0.25,13.35,0.12,,0.01,,0.14,,,April month
PAN-03,2014,5,3,11,0.25,17.53,0.16,,,1.05,0.01,,,April month
PAN-03,2014,5,3,12,0.25,10.05,6,0.13,0.33,,,,,April month
PAN-03,2014,5,3,13,0.25,19.08,1.5,0.02,,,,,,April month
PAN-03,2014,5,3,14,0.25,9.59,0.26,,,,,,,April month
PAN-03,2014,5,3,15,0.25,17.19,0.87,0.17,0.16,,1.12,,,April month
PAN-03,2014,5,3,16,0.25,10.85,4.41,,,,,,,April month
PAN-03,2014,5,3,17,0.25,8.1,3.1,,0.13,,0.06,,,April month
PAN-03,2014,5,3,18,0.25,23.6,3.86,0.15,0.2,,0.22,,,April month
PAN-03,2014,5,3,19,0.25,27.86,0.47,,0.05,,0.18,,,April month
PAN-03,2014,5,3,20,0.25,21.05,36.26,3.34,1.17,,0.19,,,April month
PAN-03,2014,5,3,21,0.25,12.32,2.66,0.17,,,,,,April month
PAN-03,2014,5,3,22,0.25,23.12,14.11,,0.01,,0.02,,,April month
PAN-03,2014,5,3,23,0.25,14.17,5.75,,0.28,,,,,April month
PAN-03,2014,5,3,24,0.25,11.82,39.05,,,0.23,0.29,,,April month
PAN-03,2014,5,3,25,0.25,12.76,0.34,,0.1,,0.13,,,April month
