"","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm"
"17","12.23.7.13","0.0686135420233278","0.10727808161548","ACJ",12,"STEM",12,23,7,13,23,9.2,NA,7
"18","12.24.9.13","0.0826629870718979","0.145246108540174","ACJ",12,"STEM",12,24,9,13,23,8.5,NA,7
"19","12.29.5.13","0.297099690757325","0.515979381443298","ACJ",12,"STEM",12,29,5,13,10,8.9,NA,7
"20","13.12.1.14","0.123437174970536","0.208245687841817","ACJ",13,"STEM",13,12,1,14,12,8.1,NA,7
"21","13.15.3.14","0.0408925931349695","0.066996213714767","ACJ",13,"STEM",13,15,3,14,13,9,NA,7
"22","13.24.7.13","0.0550631567523876","0.0954985275557415","ACJ",13,"STEM",13,24,7,13,3,7.9,NA,7
"23","13.25.9.13","0.0688818972099079","0.106121161127476","ACJ",13,"STEM",13,25,9,13,4,8.1,NA,7
"24","13.28.5.13","0.0548360838692812","0.0921329406815328","ACJ",13,"STEM",13,28,5,13,15,9.9,NA,7
"25","14.12.1.14","0.0823207195695377","0.129890618426589","ACJ",14,"STEM",14,12,1,14,12,8,NA,7
"26","14.13.3.14","0.0412240282505555","0.0770929743373968","ACJ",14,"STEM",14,13,3,14,3,8.4,NA,7
"27","14.24.7.13","0.0412973675642907","0.0641564997896492","ACJ",14,"STEM",14,24,7,13,3,7.9,NA,7
"28","14.25.9.13","0.0548679319456073","0.100967606226336","ACJ",14,"STEM",14,25,9,13,3,8.9,NA,7
"29","14.28.5.13","0.0547550852225023","0.0921329406815349","ACJ",14,"STEM",14,28,5,13,16,9.9,NA,7
"30","15.12.1.14","0.0412043266992621","0.0741480858224637","ACJ",15,"STEM",15,12,1,14,13,7.7,NA,7
"31","15.13.3.14","0","0.0475389145982342","ACJ",15,"STEM",15,13,3,14,3,8.4,NA,7
"32","15.24.7.13","0.0275315783761938","0.0531131678586457","ACJ",15,"STEM",15,24,7,13,2,7.9,NA,7
"33","15.25.9.13","0.0686579423480857","0.107278081615482","ACJ",15,"STEM",15,25,9,13,5,8.6,NA,7
"34","15.28.5.13","0.0410808275461105","0.0629995793016424","ACJ",15,"STEM",15,28,5,13,16,9.8,NA,7
"35","16.12.1.14","0.247314019308732","0.416491375683636","ACJ",16,"STEM",16,12,1,14,12,7.6,NA,7
"36","16.15.3.14","0.149621334138931","0.246003365586873","ACJ",16,"STEM",16,15,3,14,13,9.6,NA,7
"37","16.24.7.13","0.0688289459404844","0.108645351283129","ACJ",16,"STEM",16,24,7,13,2,7.9,NA,7
"38","16.25.9.13","0.0686335826027077","0.116323096339926","ACJ",16,"STEM",16,25,9,13,3,8.7,NA,7
"39","16.28.5.13","0","0.0342869162810232","ACJ",16,"STEM",16,28,5,13,16,9.8,NA,7
"40","17.12.1.14","0.0549195475042428","0.0933950357593577","ACJ",17,"STEM",17,12,1,14,12,7.8,NA,7
"41","17.13.3.14","0.0687311254452768","0.110117795540598","ACJ",17,"STEM",17,13,3,14,3,8.3,NA,7
"42","17.24.7.13","0.0550631567523876","0.100967606226334","ACJ",17,"STEM",17,24,7,13,2,7.9,NA,7
"43","17.25.9.13","0.0549263538784686","0.104964240639465","ACJ",17,"STEM",17,25,9,13,3,8.6,NA,7
"44","17.28.5.13","0.0547587000853767","0.089713925115689","ACJ",17,"STEM",17,28,5,13,16,10.3,NA,7
"45","18.12.1.14","0.123525014981189","0.213188893563312","ACJ",18,"STEM",18,12,1,14,12,7.9,NA,7
"46","18.15.3.14","0.0680869727962978","0.125157761884729","ACJ",18,"STEM",18,15,3,14,13,9.7,NA,7
"47","18.24.7.13","0.0550240007298081","0.0921329406815287","ACJ",18,"STEM",18,24,7,13,2,8.1,NA,7
"48","18.25.9.13","0.123635739984102","0.208245687841817","ACJ",18,"STEM",18,25,9,13,3,8.9,NA,7
"49","18.28.5.13","0.0536087489104726","0.0737113402061877","ACJ",18,"STEM",18,28,5,13,18,9.8,NA,7
"50","19.12.1.14","0.0962177679843573","0.151346234749685","ACJ",19,"STEM",19,12,1,14,9,7.9,NA,7
"51","19.15.3.14","0.191685299961039","0.315628944047117","ACJ",19,"STEM",19,15,3,14,10,9,NA,7
"52","19.23.7.13","0.124322328080843","0.18457538994801","ACJ",19,"STEM",19,23,7,13,23,9.4,NA,7
"53","19.25.9.13","0.234378228962871","0.389987379049223","ACJ",19,"STEM",19,25,9,13,0,8.3,NA,7
"54","19.29.5.13","0.137997703792496","0.228439209087086","ACJ",19,"STEM",19,29,5,13,10,9.7,NA,7
"55","2.15.3.14","0.149674269335866","0.252524190155657","ACJ",2,"STEM",2,15,3,14,9,9.5,NA,7
"56","2.23.7.13","0.0826829930824142","0.144089188052165","ACJ",2,"STEM",2,23,7,13,23,7.6,NA,7
"57","2.24.9.13","0.0551055177679263","0.100967606226336","ACJ",2,"STEM",2,24,9,13,22,8.1,NA,7
"58","2.28.5.13","0.0272599968385741","0.0418594867479984","ACJ",2,"STEM",2,28,5,13,10,10.7,NA,7
"59","20.12.1.14","0.192572573914927","0.315523769457299","ACJ",20,"STEM",20,12,1,14,10,7.7,NA,7
"60","20.13.3.14","0.041331493535949","0.0579511989903232","ACJ",20,"STEM",20,13,3,14,1,8.5,NA,7
"61","20.24.7.13","0.0828394602697031","0.146508203618003","ACJ",20,"STEM",20,24,7,13,0,7.9,NA,7
"62","20.25.9.13","0.234461533824774","0.405027345393352","ACJ",20,"STEM",20,25,9,13,0,8.2,NA,7
"63","20.29.5.13","0.0413385191977522","0.0764619267984874","ACJ",20,"STEM",20,29,5,13,11,9.7,NA,7
"64","21.12.1.14","0.123708558837031","0.208350862431637","ACJ",21,"STEM",21,12,1,14,10,7.9,NA,7
"65","21.15.3.14","0.136685216439309","0.248527555742532","ACJ",21,"STEM",21,15,3,14,11,9.9,NA,7
"66","21.24.7.13","0.428003878060133","0.704038704249053","ACJ",21,"STEM",21,24,7,13,0,7.9,NA,7
"67","21.29.5.13","0.124292423482145","0.217395877156082","ACJ",21,"STEM",21,29,5,13,11,9.9,NA,7
"68","22.12.1.14","0.0824723725580205","0.145035759360541","ACJ",22,"STEM",22,12,1,14,10,7.9,NA,7
"69","22.13.3.14","0.179431400000196","0.322991165334454","ACJ",22,"STEM",22,13,3,14,2,8.4,NA,7
"70","22.24.7.13","0.0826091064986933","0.133782078249891","ACJ",22,"STEM",22,24,7,13,1,9.1,NA,7
"71","22.25.9.13","0.0414072461538913","0.0648927219183867","ACJ",22,"STEM",22,25,9,13,1,8.4,NA,7
"72","22.29.5.13","0.12437382002456","0.208245687841815","ACJ",22,"STEM",22,29,5,13,12,9.3,NA,7
"73","23.12.1.14","0.0824723725580205","0.131783761043329","ACJ",23,"STEM",23,12,1,14,11,7.9,NA,7
"74","23.24.7.13","0.137910899379154","0.21939419436264","ACJ",23,"STEM",23,24,7,13,1,7.8,NA,7
"75","23.25.9.13","0.0688085014750012","0.122318047959608","ACJ",23,"STEM",23,25,9,13,2,8.4,NA,7
"76","23.28.5.13","-0.013729270629015","-0.0247160286074881","ACJ",23,"STEM",23,28,5,13,18,9.9,NA,7
"77","24.12.1.14","0.0962177679843573","0.1751156920488","ACJ",24,"STEM",24,12,1,14,11,7.9,NA,7
"78","24.15.3.14","0.013632838727087","0.049432057214977","ACJ",24,"STEM",24,15,3,14,12,9.8,NA,7
"79","24.24.7.13","0.165434195398284","0.267458981909971","ACJ",24,"STEM",24,24,7,13,1,7.9,NA,7
"80","24.25.9.13","0.110171863317784","0.194257467395876","ACJ",24,"STEM",24,25,9,13,2,8.2,NA,7
"81","24.28.5.13","0.0822541258039217","0.137358014303746","ACJ",24,"STEM",24,28,5,13,17,9.9,NA,7
"82","25.12.1.14","0.110002303173431","0.192048801009674","ACJ",25,"STEM",25,12,1,14,11,7.8,NA,7
"83","25.15.3.14","0.0817911177013605","0.128733697938576","ACJ",25,"STEM",25,15,3,14,12,9.4,NA,7
"84","25.24.7.13","0.0688534445864857","0.0996003365586858","ACJ",25,"STEM",25,24,7,13,1,7.8,NA,7
"85","25.25.9.13","0.316050883254259","0.549852755574259","ACJ",25,"STEM",25,25,9,13,2,8.4,NA,7
"86","25.28.5.13","0.137090209673203","0.23601177955406","ACJ",25,"STEM",25,28,5,13,17,9.9,NA,7
"87","3.12.1.14","0.0273897248077267","0.0379680269246963","ACJ",3,"STEM",3,12,1,14,14,8.1,NA,7
"88","3.24.7.13","0.0687269771316838","0.108224652923851","ACJ",3,"STEM",3,24,7,13,4,7.9,NA,7
"89","3.25.9.13","0.068980002101786","0.120109381573412","ACJ",3,"STEM",3,25,9,13,20,7.7,NA,7
"90","3.28.5.13","0.0816709654254134","0.137463188893557","ACJ",3,"STEM",3,28,5,13,13,11.5,NA,7
"91","4.12.1.14","0.0684986671009526","0.125157761884729","ACJ",4,"STEM",4,12,1,14,14,8,NA,7
"92","4.13.3.14","0.0684013505786994","0.10727808161548","ACJ",4,"STEM",4,13,3,14,5,8.4,NA,7
"93","4.24.7.13","0.0822329731994156","0.149137568363483","ACJ",4,"STEM",4,24,7,13,4,8.3,NA,7
"94","4.25.9.13","0.068980002101786","0.113588557004629","ACJ",4,"STEM",4,25,9,13,20,7.7,NA,7
"95","4.28.5.13","0.0545623195642643","0.100967606226336","ACJ",4,"STEM",4,28,5,13,14,10.9,NA,7
"96","5.12.1.14","0.0547989336807621","0.107383256205304","ACJ",5,"STEM",5,12,1,14,14,8,NA,7
"97","5.13.3.14","0.0411164865997078","0.0681531342027796","ACJ",5,"STEM",5,13,3,14,5,8.3,NA,7
"98","5.24.7.13","0.0549849003562214","0.100967606226334","ACJ",5,"STEM",5,24,7,13,4,8.3,NA,7
"99","5.25.9.13","0.0687800009122601","0.128733697938578","ACJ",5,"STEM",5,25,9,13,5,8.1,NA,7
"100","5.28.5.13","0.0546392627259978","0.0930795119899036","ACJ",5,"STEM",5,28,5,13,14,10.5,NA,7
"101","51.12.1.14","0.0412361862790102","0.0581615481699631","ACJ",1,"STEM",51,12,1,14,8,7.9,NA,7
"102","51.20.11.13","0.109527218252472","0.177639882204456","ACJ",1,"STEM",51,20,11,13,0,8.6,NA,7
"103","52.12.1.14","0.0687025321816102","0.118636937315948","ACJ",2,"STEM",52,12,1,14,9,8,NA,7
"104","52.20.11.13","0.0958363159709131","0.18563315103071","ACJ",2,"STEM",52,20,11,13,0,8.6,NA,7
"105","53.20.11.13","0.068478816222781","0.108645351283127","ACJ",3,"STEM",53,20,11,13,5,8.5,NA,7
"106","54.20.11.13","0.0684545114077951","0.118531762726124","ACJ",4,"STEM",54,20,11,13,5,8.6,NA,7
"107","55.20.11.13","0.0409564153370652","0.0784602440050518","ACJ",5,"STEM",55,20,11,13,4,9.4,NA,7
"108","56.20.11.13","0.0957408521579168","0.157551535549015","ACJ",6,"STEM",56,20,11,13,4,9.3,NA,7
"109","57.20.11.13","0.0547866461205027","0.0793016407235989","ACJ",7,"STEM",57,20,11,13,5,8.9,NA,7
"110","58.20.11.13","0.109488358143105","0.169120740429114","ACJ",8,"STEM",58,20,11,13,0,8.7,NA,7
"111","59.20.11.13","0.0549068660821661","0.0933950357593595","ACJ",9,"STEM",59,20,11,13,0,8.7,NA,7
"112","6.12.1.14","0.0959664009880974","0.176798485485904","ACJ",6,"STEM",6,12,1,14,14,7.8,NA,7
"113","6.15.3.14","0.108367334416864","0.194678165755154","ACJ",6,"STEM",6,15,3,14,15,9.5,NA,7
"114","6.24.7.13","0.0688289459404844","0.107278081615482","ACJ",6,"STEM",6,24,7,13,4,7.9,NA,7
"115","6.25.9.13","0.0688818972099079","0.116112747160286","ACJ",6,"STEM",6,25,9,13,21,8.1,NA,7
"116","6.28.5.13","0.0546238027070211","0.0959192259150171","ACJ",6,"STEM",6,28,5,13,14,11,NA,7
"117","60.20.11.13","0.0411947654088514","0.0857172907025665","ACJ",10,"STEM",60,20,11,13,0,8.6,NA,7
"118","61.20.11.13","0.0549263538784686","0.114955826672277","ACJ",11,"STEM",61,20,11,13,0,8.6,NA,7
"119","62.20.11.13","0.0822674722535285","0.109697097181318","ACJ",12,"STEM",62,20,11,13,0,8.6,NA,7
"120","63.20.11.13","0.0685606069699563","0.112326461926798","ACJ",13,"STEM",63,20,11,13,3,9,NA,7
"121","64.20.11.13","0.0684590357003712","0.114429953723182","ACJ",14,"STEM",64,20,11,13,3,9,NA,7
"122","65.20.11.13","0.0680730111818844","0.115271350441735","ACJ",15,"STEM",65,20,11,13,4,10.6,NA,7
"123","66.20.11.13","0.0686907131315278","0.13315103071098","ACJ",16,"STEM",66,20,11,13,3,9.3,NA,7
"124","67.20.11.13","0.123365369218181","0.208245687841817","ACJ",17,"STEM",67,20,11,13,3,9.1,NA,7
"125","68.20.11.13","0.123365369218181","0.208245687841819","ACJ",18,"STEM",68,20,11,13,3,9.1,NA,7
"126","69.20.11.13","0.0822674722535285","0.118742111905764","ACJ",19,"STEM",69,20,11,13,1,8.6,NA,7
"127","7.12.1.14","0.0822862036906512","0.140197728228857","ACJ",7,"STEM",7,12,1,14,14,7.7,NA,7
"128","7.15.3.14","0.067705630134674","0.0783550694152302","ACJ",7,"STEM",7,15,3,14,14,9.6,NA,7
"129","7.24.7.13","0.0688779606785585","0.11863693731594","ACJ",7,"STEM",7,24,7,13,4,7.7,NA,7
"130","7.25.9.13","0.0688818972099079","0.113904080774082","ACJ",7,"STEM",7,25,9,13,21,8.1,NA,7
"131","7.28.5.13","0.0684922523962758","0.116217921750106","ACJ",7,"STEM",7,28,5,13,15,9.7,NA,7
"132","70.20.11.13","0.0412411571906048","0.0770929743373988","ACJ",20,"STEM",70,20,11,13,1,8.7,NA,7
"133","71.20.11.13","0.0549882095874731","0.0885570046276822","ACJ",21,"STEM",71,20,11,13,1,8.7,NA,7
"134","72.20.11.13","0.02753477654639","0.0531131678586477","ACJ",22,"STEM",72,20,11,13,2,8.7,NA,7
"135","73.20.11.13","0.16520865927834","0.284076567101389","ACJ",23,"STEM",73,20,11,13,2,8.7,NA,7
"136","74.20.11.13","0.041302164819585","0.0629995793016444","ACJ",24,"STEM",74,20,11,13,2,8.7,NA,7
"137","75.20.11.13","0.19274343582473","0.326882625157763","ACJ",25,"STEM",75,20,11,13,2,8.7,NA,7
"138","8.12.1.14","0.0274810128726441","0.0379680269246922","ACJ",8,"STEM",8,12,1,14,9,8,NA,7
"139","8.15.3.14","0.108815515737404","0.17280185107278","ACJ",8,"STEM",8,15,3,14,10,9.6,NA,7
"140","8.23.7.13","0.0691982659866684","0.0982330668910349","ACJ",8,"STEM",8,23,7,13,23,6.4,NA,7
"141","8.24.9.13","0.0551870348060446","0.0986537652503145","ACJ",8,"STEM",8,24,9,13,23,8.1,NA,7
"142","8.29.5.13","0.0964744048787074","0.176798485485909","ACJ",8,"STEM",8,29,5,13,9,8.4,NA,7
"143","9.12.1.14","0.0274907908526735","0.0404922170803516","ACJ",9,"STEM",9,12,1,14,9,7.9,NA,7
"144","9.12.3.14","0.0688085014750012","0.10727808161548","ACJ",9,"STEM",9,12,3,14,23,8.4,NA,7
"145","9.23.7.13","0.0692478083285239","0.120109381573414","ACJ",9,"STEM",9,23,7,13,23,6.2,NA,7
"146","9.24.9.13","0.0551282313592613","0.089924274295329","ACJ",9,"STEM",9,24,9,13,23,8.4,NA,7
"147","9.29.5.13","0.152197262374042","0.255048380311319","ACJ",9,"STEM",9,29,5,13,9,7.3,NA,7
