Day,Month,Year,Light,WindSpeed,WindDir,Rainfall,Tensiometer,RH,Temperature
9,6,2007,386.26,0,0,0,84.34,94.294,19.44
9,6,2007,0,0,0,0,93.15,96.989,20.44
9,6,2007,0,0,0,0,93.15,96.936,20.69
9,6,2007,0,0,0,0,93.15,96.421,20.72
9,6,2007,0,0,0,0,93.15,96.915,20.72
9,6,2007,0,0,0,0,93.15,96.378,20.77
9,6,2007,0,0,0,0,93.15,96.347,20.8
9,6,2007,0,0,0,0,93.37,95.063,21.06
9,6,2007,0,0,0,0,93.37,94.757,21.25
9,6,2007,0,0,0,0,93.37,95.473,21.32
9,6,2007,0,0,0,0,93.15,95.989,21.38
9,6,2007,0,0,0,0,93.59,95.926,21.46
9,6,2007,562.7,0,0,0,81.7,86.126,21.51
9,6,2007,5.29,0,0,0,94.47,94.4,22.05
9,6,2007,20.8,0,0,0,96.45,89.284,23.66
9,6,2007,661.04,0,0,0,86.98,74.357,23.74
9,6,2007,745.04,0,0,0,93.81,67.126,24.9
9,6,2007,793.52,0,0,0,88.3,63.947,26.06
9,6,2007,48.28,0,0,0,96.23,77.484,26.26
9,6,2007,839.45,0,0,0,87.64,61.484,27.05
9,6,2007,145.43,0,0,0,92.93,64.715,27.79
9,6,2007,864.18,0,0,0,89.4,60.6,27.85
9,6,2007,877.33,0,0,0,90.06,59.189,28.41
9,6,2007,340.92,0,0,0,99.53,59.684,28.64
9,6,2007,869.47,0,0,0,91.6,58.105,28.75
9,6,2007,841.21,0,0,0,91.82,56.336,29.13
9,6,2007,463.19,0,0,0,101.73,55.957,29.18
9,6,2007,799.8,0,0,0,92.93,55.431,29.61
9,6,2007,573.69,0,0,0,97.55,53.873,29.82
9,6,2007,740.13,0,0,0,93.59,51.526,29.87
9,6,2007,663.19,0,0,0,94.91,50.147,29.93
10,6,2007,54.95,0,0,0,91.6,98.652,16.7
10,6,2007,28.26,0,0,0,92.49,98.031,16.74
10,6,2007,6.28,0,0,0,92.49,97.747,17.21
10,6,2007,89.1,0,0,0,91.16,98.568,17.35
10,6,2007,0,0,0,0,92.05,98.189,17.59
10,6,2007,0,0,0,0,92.71,98.431,17.64
10,6,2007,0,0,0,0,92.05,98.368,17.84
10,6,2007,0,0,0,0,92.27,98.673,17.87
10,6,2007,0,0,0,0,93.81,97.326,17.88
10,6,2007,0,0,0,0,92.27,98.547,17.92
10,6,2007,0,0,0,0,92.05,98.568,17.97
10,6,2007,178.6,0,0,0,91.16,98.105,18.22
10,6,2007,0,0,0,0,100.41,97.578,18.33
10,6,2007,0,0,0,0,94.03,97.252,18.38
10,6,2007,0,0,0,0,99.97,97.757,18.64
10,6,2007,0,0,0,0,99.75,97.831,18.84
10,6,2007,0,0,0,0,94.03,97.052,18.88
10,6,2007,0,0,0,0,99.75,97.347,19.08
10,6,2007,0,0,0,0,93.81,96.894,19.37
10,6,2007,0,0,0,0,99.75,97.2,19.42
10,6,2007,275.95,0,0,0,91.82,94.842,19.55
10,6,2007,0,0,0,0,99.53,97.2,19.76
10,6,2007,0,0,0,0,93.37,96.915,19.83
10,6,2007,0,0,0,0,99.53,97.042,20.01
10,6,2007,0,0,0,0,99.31,97.031,20.17
10,6,2007,0,0,0,0,93.15,97.263,20.18
10,6,2007,0,0,0,0,99.31,96.578,20.46
10,6,2007,0,0,0,0,99.53,95.978,20.87
10,6,2007,0,0,0,0,99.75,95.252,21.34
10,6,2007,463.78,0,0,0,90.28,88.084,21.4
10,6,2007,8.83,0,0,0,100.41,93.463,22.36
10,6,2007,654.95,0,0,0,92.05,76.484,24.25
10,6,2007,32.18,0,0,0,101.95,86.305,24.48
10,6,2007,733.85,0,0,0,102.4,71.063,25.41
10,6,2007,797.05,0,0,0,96.01,65.978,26.69
10,6,2007,69.08,0,0,0,102.84,75.315,26.85
10,6,2007,843.76,0,0,0,94.25,63.621,27.47
10,6,2007,157.01,0,0,0,100.63,64.221,28.12
10,6,2007,882.23,0,0,0,96.01,61.736,28.28
10,6,2007,357.21,0,0,0,105.26,57.136,28.82
10,6,2007,877.13,0,0,0,96.89,60.136,28.97
10,6,2007,467.51,0,0,0,108.34,56.642,29.14
10,6,2007,952.89,0,0,0,98.21,58.978,29.26
10,6,2007,577.62,0,0,0,105.04,54.305,29.45
10,6,2007,669.08,0,0,0,103.06,54.505,29.63
10,6,2007,749.36,0,0,0,102.84,55.357,29.69
10,6,2007,826.69,0,0,0,100.85,57.421,29.76
10,6,2007,904.8,0,0,0,98.65,58.031,29.82
11,6,2007,0,0,0,0,99.31,98.768,15.97
11,6,2007,5.69,0,0,0,98.87,99.042,15.97
11,6,2007,0,0,0,0,99.97,98.705,16.19
11,6,2007,0,0,0,0,99.09,98.957,16.45
11,6,2007,0,0,0,0,99.53,98.684,16.48
11,6,2007,0,0,0,0,99.97,98.884,16.49
11,6,2007,30.81,0,0,0,99.75,99.242,16.53
11,6,2007,0,0,0,0,99.53,98.589,16.62
11,6,2007,0,0,0,0,99.53,99.052,16.64
11,6,2007,0,0,0,0,99.53,98.505,16.82
11,6,2007,68.69,0,0,0,100.19,99.126,17.02
11,6,2007,0,0,0,0,99.97,98.042,17.04
11,6,2007,0,0,0,0,100.19,97.947,17.44
11,6,2007,0,0,0,0,100.19,97.884,17.78
11,6,2007,154.26,0,0,0,100.63,98.905,17.85
11,6,2007,0,0,0,0,100.19,97.978,18.04
11,6,2007,355.05,0,0,0,101.07,96.673,19.39
11,6,2007,-0.19,0,0,0,107.9,97.473,19.61
11,6,2007,0,0,0,0,107.9,97.147,19.79
11,6,2007,0,0,0,0,107.9,97.2,20.03
11,6,2007,0,0,0,0,107.24,97.294,20.16
11,6,2007,0,0,0,0,107.9,97.347,20.29
11,6,2007,0,0,0,0,107.02,97.452,20.31
11,6,2007,0,0,0,0,107.24,97.094,20.35
11,6,2007,0,0,0,0,107.46,97.357,20.42
11,6,2007,0,0,0,0,106.8,97.284,20.43
11,6,2007,0,0,0,0,107.24,95.915,20.75
11,6,2007,457.7,0,0,0,102.4,88.157,21.29
11,6,2007,-0.19,0,0,0,107.68,94.789,21.43
11,6,2007,7.06,0,0,0,108.56,93.821,22.15
11,6,2007,567.22,0,0,0,96.89,77.347,23.3
11,6,2007,23.55,0,0,0,109.88,90.336,23.67
11,6,2007,655.54,0,0,0,101.73,71.273,24.89
11,6,2007,729.73,0,0,0,110.54,69.2,25.62
11,6,2007,50.83,0,0,0,110.98,79.41,26.27
11,6,2007,794.89,0,0,0,104.16,63.084,26.53
11,6,2007,842.19,0,0,0,102.84,61.063,27.69
11,6,2007,866.92,0,0,0,105.26,59.494,28.25
11,6,2007,138.17,0,0,0,109.22,66.568,28.36
11,6,2007,878.31,0,0,0,105.48,59.242,28.73
