plot_code,measurement_code,treatment_code,subplot,replica,day,month,year,vwc,soil_temp,air_temp,collar_depth
WAY,COMP,CNH,1,1,25,7,2013,7.5,10.3,10.1,1.8
WAY,COMP,CSH,1,1,25,7,2013,4.5,10,9.9,7.6
WAY,COMP,C2H,1,1,25,7,2013,2.7,9.5,9.7,2.4
WAY,COMP,MNH,1,1,25,7,2013,4.8,9.8,10,5.3
WAY,COMP,MSH,1,1,25,7,2013,10.2,9.5,10,5.3
WAY,COMP,M2H,1,1,25,7,2013,4.5,9.6,10,2.2
WAY,COMP,SNH,1,1,25,7,2013,5.5,9.6,10.4,6.9
WAY,COMP,SSH,1,1,25,7,2013,7.3,9.7,10.3,8
WAY,COMP,S2H,1,1,25,7,2013,36,9.5,10.2,5.5
WAY,COMP,M,1,1,25,7,2013,7.9,10.4,10.4,5
WAY,COMP,CNH,5,1,25,7,2013,5.3,10.3,10.4,1.8
WAY,COMP,CSH,5,1,25,7,2013,16.4,9.9,10,6.6
WAY,COMP,C2H,5,1,25,7,2013,10.2,10.1,10.3,1.3
WAY,COMP,MNH,5,1,25,7,2013,12.2,9.5,10.4,7.3
WAY,COMP,MSH,5,1,25,7,2013,7.8,9.7,10.5,6.5
WAY,COMP,M2H,5,1,25,7,2013,3.9,9.9,10.7,1.3
WAY,COMP,SNH,5,1,25,7,2013,10.7,9.8,10.6,7
WAY,COMP,SSH,5,1,25,7,2013,10.1,9.5,11.1,10.8
WAY,COMP,S2H,5,1,25,7,2013,3.9,9.5,11.8,10.5
WAY,COMP,M,5,1,25,7,2013,10.6,10.3,11.8,5.3
WAY,COMP,CNH,21,1,26,7,2013,2.7,9.9,10.2,4.2
WAY,COMP,CSH,21,1,26,7,2013,1,9.9,10.3,10.1
WAY,COMP,C2H,21,1,26,7,2013,4.9,9.8,10.1,0.6
WAY,COMP,MNH,21,1,26,7,2013,0.1,9.9,10.2,3.6
WAY,COMP,MSH,21,1,26,7,2013,0.1,9.8,11.1,7.8
WAY,COMP,M2H,21,1,26,7,2013,5.3,9.6,11.6,4.8
WAY,COMP,SNH,21,1,26,7,2013,5.2,9.5,11.5,6.5
WAY,COMP,SSH,21,1,26,7,2013,6.8,9.5,11.7,4.8
WAY,COMP,S2H,21,1,26,7,2013,5.9,9.6,11.6,5.1
WAY,COMP,M,21,1,26,7,2013,5.8,9.5,11.6,4.9
WAY,COMP,CNH,25,1,26,7,2013,11.7,10.5,10,2.8
WAY,COMP,CSH,25,1,26,7,2013,13.4,10.6,9.9,5.2
WAY,COMP,C2H,25,1,26,7,2013,11.5,10.5,10.3,3.1
WAY,COMP,MNH,25,1,26,7,2013,10.9,10.4,10.3,2.1
WAY,COMP,MSH,25,1,26,7,2013,13.2,10.5,9.3,2.5
WAY,COMP,M2H,25,1,26,7,2013,17.8,10.5,9.7,2.4
WAY,COMP,SNH,25,1,26,7,2013,12.2,10.5,9.8,5.9
WAY,COMP,SSH,25,1,26,7,2013,13.1,10.3,9.9,4.8
WAY,COMP,S2H,25,1,26,7,2013,21.2,10.2,9.8,3.3
WAY,COMP,M,25,1,26,7,2013,19.9,10.2,9.8,4.2
